Company Name,Industry,Instrument,Rating,Outlook
,,Foreign Bill Discounting,CRISIL A4+,
Eastern Mattresses Private Limited,Household Durables,Cash Credit Limit,CRISIL BB-,Stable
,,Term Loan Facilities,CRISIL BB-,Stable
Eastern Media Limited,Media,Long Term Bank Loan,CRISIL BB,Stable
,,Cash Credit Limit,CRISIL BB,Stable
,,Letter of Credit Limit,CRISIL A4+,
Eastern Mills Private Limited,Household Durables,Cash Credit Limit,CRISIL BB+,Stable
,,Proposed Short Term Bank Facility,CRISIL A4+,
,,Foreign Bill Purchase Limit,CRISIL A4+,
,,Packing Credits,CRISIL A4+,
Eastern Mining & Allied Industries Limited,Others,Fixed Deposit,@,
Eastern Navigation Private Limited,Marine,Proposed Long-Term Bank Facility,#,
,,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Overdraft Facility,#,
,,Bank Guarantee limit,#,
Eastern Petroleum Private Limited,Chemicals,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Bill Discounting,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
,,Letter of Credit Limit,CRISIL A4+,
,,Bank Guarantee limit,CRISIL A4+,
Eastern Pilling and Construction Private Limited,Machinery,Cash Credit Limit,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
Eastern Poly Craft Industries Limited,Containers & Packaging,Cash Credit Limit,#,
,,Long Term Bank Loan,#,
,,Bank Guarantee limit,#,
,,Letter of Credit Limit,#,
Eastern Power Distribution Company of Andhra Pradesh Limited,Electric Utilities,Rupee Term Loans,CRISIL BB+,Stable
,,Cash Credit Limit,CRISIL BB+,Stable
,,Letter of Credit Limit,CRISIL A4+,
Eastern Silk Industries Limited,Engineering & Capital Goods,Term Loan Facilities,CRISIL D,
,,Working Capital Facility,CRISIL D,
,,Proposed Long-Term Bank Facility,CRISIL D,
,,Funded Interest Term Loan,CRISIL D,
,,Working Capital Term Loan,CRISIL D,
Eastern Treads Limited,Auto Components,Cash Credit Limit,CRISIL BB,Stable
,,Inland/Import Letter of Credit,CRISIL A4+,
,,Bank Guarantee limit,CRISIL A4+,
Easternzone Industries Private Limited,Food Products,Cash Credit Limit,CRISIL B+,Stable
,,Term Loan Facilities,CRISIL B+,Stable
Eastman Auto and Power Limited,Electrical Equipment,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Rupee Term Loans,#,
,,Corporate Loan,#,
,,Bank Guarantee limit,#,
,,Letter of Credit Limit,#,
Eastman Cast and Forge Limited,Machinery,Cash Credit Limit,CRISIL BB+,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB+,Stable
,,Packing Credits,CRISIL A4+,
,,Export Packing Credit limits,CRISIL A4+,
,,Letter of Credit Limit,CRISIL A4+,
Eastman Exports Private Limited,Distributors,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Export Packing Credit limits,CRISIL A4+,
,,Letter of Credit Limit,CRISIL A4+,
,,Foreign Exchange Forwards,CRISIL A4+,
Eastman Impex,Distributors,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Export Packing Credit,CRISIL BB,Stable
,,Foreign Exchange Forwards,CRISIL A4+,
,,Standby Line Of Credit,CRISIL A4+,
,,Letter of Credit Limit,CRISIL A4+,
Eastman Industries Limited,Automobiles,Export Packing Credit,CRISIL BBB+,Stable
,,Proposed Long-Term Bank Facility,CRISIL BBB+,Stable
,,Standby Letter Of Credit,CRISIL A2,
,,Import Letter of Credit Limit,CRISIL A2,
,,Non-Fund Based Limit,CRISIL A2,
Eastman International,Distributors,Long Term Bank Loan,CRISIL BBB+,Stable
,,Packing Credits,CRISIL A2,
,,Bank Guarantee limit,CRISIL A2,
,,Letter of Credit Limit,CRISIL A2,
Eaststar Manufacturing Syndicate,Distributors,Cash Credit Limit,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
Easwari Knitting Works,Textiles- Apparel & Luxury Goods,Cash Credit Limit,#,
,,Long Term Bank Loan,#,
,,Proposed Long-Term Bank Facility,#,
,,Short-Term Bank Facility,#,
Easy Fit Jewellery Private Limited,Engineering & Capital Goods,Proposed Long-Term Bank Facility,#,
,,Bill Discounting Facility,#,
,,Proposed Short Term Bank Facility,#,
Easyaccess Financial Services Limited,Non Banking Financial Company,Proposed Long-Term Bank Facility,CRISIL A,Stable
,,Working Capital Demand Loan,CRISIL A,Stable
,,Short Term Debt,CRISIL A1+,
Ebco Private Limited,Building Products,Cash Credit Limit,CRISIL BBB+,Stable
,,Term Loan Facilities,CRISIL BBB+,Stable
,,Letter of Credit Limit,CRISIL A2,
Ebony Automobiles Private Limited,Specialty Retail,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
Ebro India Private Limited,Food Products,Packing Credit in Foreign Currency,CRISIL A1,
Echjay Industries Private Limited,Auto Components,Cash Credit Limit,CRISIL AA-,Stable
,,Term Loan Facilities,CRISIL AA-,Stable
,,Letter of Credit Limit,CRISIL A1+,
Ecko Cables Private Limited,Metals & Mining,Cash Credit Limit,CRISIL B-,Stable
,,Bank Guarantee limit,CRISIL A4,
,,Letter of Credit Limit,CRISIL A4,
Eco Papers India Private Limited,Containers & Packaging,Proposed Long-Term Bank Facility,CRISIL BB+,Positive
Eco Protection Engineers Private Limited,Construction & Engineering,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
Eco-Care Building Products Private Limited,Building Products,Cash Credit Limit,#,
,,Long Term Bank Loan,#,
Ecof Industries Private Limited,Household Products,Long Term Bank Loan,#,
,,Cash Credit Limit,#,
Ecohomes Constructions Private Limited,Real Estate Development,Rupee Term Loans,#,
Ecoman,Machinery,Cash Credit Limit,#,
,,Cash Term Loan,#,
,,Bank Guarantee limit,#,
Econ Antri Limited,Machinery,Cash Credit Limit,CRISIL BBB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BBB-,Stable
,,Bank Guarantee limit,CRISIL A3,
Econix Hi-Tech Components Private Limited,Electrical Equipment,Rupee Term Loans,#,
,,Stand by Letter of Credit,#,
,,Cash Credit Limit,#,
