Count,Sr.No.,Instrument,Company Name,Intial Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
100,100,BLR,A.V. Valves Limited,CARE B / CARE A4,19-03-13,CARE B+ / CARE A4,19-04-16,CARE B+; Stable / CARE A4,03-05-17,,,,,,,,,,,,,,,,
101,101,BLR,A.V. Valves Limited,CARE A4,19-03-13,,,,,,,,,,,,,,,,,,,,
102,102,BLR,A.V. Valves Limited,CARE B+,19-04-16,CARE B+; Stable,03-05-17,,,,,,,,,,,,,,,,,,
103,103,BLR,A-1 Chips and Exports India Private Limited,CARE A4+,22-01-16,CARE A4+; INC,18-05-17,,,,,,,,,,,,,,,,,,
104,104,BLR,A-1 Chips and Exports India Private Limited,CARE A4+,22-01-16,CARE A4+; INC,18-05-17,,,,,,,,,,,,,,,,,,
105,105,BLR,A-1 Chips and Exports India Private Limited,CARE BB+,22-01-16,CARE BB+; INC,18-05-17,,,,,,,,,,,,,,,,,,
106,106,BLR,A-1 Chips and Exports India Private Limited,CARE BB+,22-01-16,CARE BB+; INC,18-05-17,,,,,,,,,,,,,,,,,,
107,107,BLR,A-1 Cold Storage Private Limited,CARE B+; Stable,15-12-17,,,,,,,,,,,,,,,,,,,,
108,108,BLR,A2Z Infra Engineering Limited,CARE D,31-12-15,CARE D; INC,04-04-17,,,,,,,,,,,,,,,,,,
109,109,BLR,A2Z Infra Engineering Limited,CARE D,31-12-15,CARE D; INC,04-04-17,,,,,,,,,,,,,,,,,,
110,110,BLR,A2Z Infra Engineering Limited,CARE D,31-12-15,CARE D; INC,04-04-17,,,,,,,,,,,,,,,,,,
111,111,BLR,A2Z Infraservices Limited,CARE BB,08-01-15,CARE D,24-04-17,,,,,,,,,,,,,,,,,,
112,112,BLR,AA Food Factory,CARE A4,05-05-16,CARE A4; INC,24-04-17,,,,,,,,,,,,,,,,,,
113,113,BLR,AA Food Factory,CARE B+,05-05-16,CARE B+; INC,24-04-17,,,,,,,,,,,,,,,,,,
114,114,BLR,AA Food Factory,CARE B+,05-05-16,CARE B+; INC,24-04-17,,,,,,,,,,,,,,,,,,
115,115,BLR,AAA Roller Flour Mills Private Limited,CARE BB-,29-10-15,CARE BB-; Stable,13-12-16,,,,,,,,,,,,,,,,,,
116,116,BLR,AAA Roller Flour Mills Private Limited,CARE B+,12-08-14,CARE BB-,29-10-15,CARE BB-; Stable,13-12-16,,,,,,,,,,,,,,,,
117,117,BLR,Aacharan Enterprises Private Limited,CARE BB,18-01-16,CARE BB; Stable,14-03-17,,,,,,,,,,,,,,,,,,
118,118,BLR,Aadesh Travels Private Limited,CARE B+; Stable,13-04-17,,,,,,,,,,,,,,,,,,,,
119,119,BLR,Aadesh Travels Private Limited,CARE A4,13-04-17,,,,,,,,,,,,,,,,,,,,
120,120,BLR,Aadhar Housing Finance Limited (erstwhile DHFL Vysya Housing Finance Limited),Provisional CARE AA+ (SO),24-07-15,Provisional CARE AA+ (SO),12-07-17,,,,,,,,,,,,,,,,,,
121,121,LT Instruments,Aadhar Housing Finance Limited (erstwhile DHFL Vysya Housing Finance Limited),CARE AA (SO); Stable,21-12-17,,,,,,,,,,,,,,,,,,,,
122,122,BLR,Aadhar Housing Finance Limited (erstwhile DHFL Vysya Housing Finance Limited),CARE AA+ (SO),12-04-16,CARE AA+ (SO),12-07-17,,,,,,,,,,,,,,,,,,
123,123,BLR,Aadhar Housing Finance Limited (erstwhile DHFL Vysya Housing Finance Limited),CARE AA+ (SO); Stable,21-12-17,,,,,,,,,,,,,,,,,,,,
124,124,LT Instruments,Aadhar Housing Finance Limited (erstwhile DHFL Vysya Housing Finance Limited),CARE AA+ (SO); Stable,21-12-17,,,,,,,,,,,,,,,,,,,,
125,125,BLR,Aadhar Housing Finance Limited (erstwhile DHFL Vysya Housing Finance Limited),CARE AA+ (SO),07-03-17,CARE AA+ (SO); Stable,12-07-17,,,,,,,,,,,,,,,,,,
126,126,LT Instruments,Aadhar Housing Finance Limited (erstwhile DHFL Vysya Housing Finance Limited),Provisional CARE AA+ (SO),12-07-17,,,,,,,,,,,,,,,,,,,,
127,127,BLR,Aadhar Housing Finance Limited (erstwhile DHFL Vysya Housing Finance Limited),CARE AA (SO),29-05-14,CARE AA+ (SO),10-07-14,CARE AA+ (SO); Stable,12-07-17,,,,,,,,,,,,,,,,
128,128,BLR,Aadhar Housing Finance Limited (erstwhile DHFL Vysya Housing Finance Limited),CARE AA (SO) (In Principle),12-09-13,CARE AA+ (SO),10-07-14,CARE AA+ (SO); Stable,12-07-17,,,,,,,,,,,,,,,,
129,129,BLR,Aadhar Housing Finance Limited (erstwhile DHFL Vysya Housing Finance Limited),CARE AA (SO),12-09-13,CARE AA+ (SO),10-07-14,CARE AA+ (SO); Stable,12-07-17,,,,,,,,,,,,,,,,
130,130,BLR,Aadhar Housing Finance Limited (erstwhile DHFL Vysya Housing Finance Limited),CARE AA (SO) (In Principle),03-01-12,CARE AA+ (SO),10-07-14,CARE AA+ (SO); Stable,12-07-17,,,,,,,,,,,,,,,,
131,131,BLR,Aadheesh Texfab Private Limited,CARE B,19-08-14,CARE B+,13-10-15,CARE BB-,09-12-16,CARE BB-; Stable,31-01-18,,,,,,,,,,,,,,
132,132,BLR,Aadheesh Texfab Private Limited,CARE B,19-08-14,CARE B+,13-10-15,CARE BB-,09-12-16,CARE BB-; Stable,31-01-18,,,,,,,,,,,,,,
133,133,BLR,Aadheesh Texfab Private Limited,CARE B,19-08-14,CARE B+,13-10-15,CARE BB-,09-12-16,CARE BB-; Stable,31-01-18,,,,,,,,,,,,,,
134,134,BLR,Aadhishiva Enterprises,CARE D,01-02-16,CARE D; INC,15-05-17,,,,,,,,,,,,,,,,,,
135,135,BLR,Aadhishiva Enterprises,CARE D,01-02-16,CARE D; INC,15-05-17,,,,,,,,,,,,,,,,,,
136,136,BLR,Aaditya Finechem Private Limited,CARE BBB-; Stable,08-09-17,,,,,,,,,,,,,,,,,,,,
137,137,BLR,Aaditya Finechem Private Limited,CARE A3,08-09-17,,,,,,,,,,,,,,,,,,,,
138,138,BLR,Aaditya Transport,CARE BB-; Stable,17-05-17,,,,,,,,,,,,,,,,,,,,
139,139,BLR,Aahil Products Company Private Limited,CARE B+; Stable,13-03-18,,,,,,,,,,,,,,,,,,,,
140,140,BLR,Aahil Products Company Private Limited,CARE B+; Stable,13-03-18,,,,,,,,,,,,,,,,,,,,
141,141,BLR,AAK Kamani Private Limited,CARE A2,07-06-16,CARE A2+,20-11-17,,,,,,,,,,,,,,,,,,
142,142,BLR,AAK Kamani Private Limited,CARE A-,07-06-16,CARE A-; Stable,31-12-16,CARE A; Stable,20-11-17,,,,,,,,,,,,,,,,
143,143,BLR,AAK Kamani Private Limited,CARE A; Stable / CARE A2+,20-11-17,,,,,,,,,,,,,,,,,,,,
144,144,BLR,Aakaf Steel Private Limited,CARE B+,15-07-15,CARE B+ / CARE A4,25-07-16,CARE B+; Stable / CARE A4,21-08-17,,,,,,,,,,,,,,,,
145,145,BLR,Aakash Global Foods Private Limited,CARE BB+,14-03-16,CARE BBB; Stable,16-02-17,CARE BBB+; Stable,30-03-18,,,,,,,,,,,,,,,,
146,146,BLR,Aakash Healthcare Private Limited,CARE BB,22-07-15,CARE BB+; Stable,06-09-17,,,,,,,,,,,,,,,,,,
