"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
189,ANS CONSTRUCTIONS PRIVATE LIMITED,SMERA BB/SMERA A4+,02-Jul-15,SMERA B/SMERA A4,06-Oct-16,SMERA B+/SMERA A4,31-Aug-17,-,-,-,-,-,-
190,ANUKOOL INDIA PRIVATE LIMITED,SMERA BB/SMERA A4+,29-Mar-17,-,-,-,-,-,-,-,-,-,-
191,ANUPAM NIRMAN PRIVATE LIMITED,SMERA BB/SMERA A4+,23-Jan-15,Suspended,08-Mar-16,-,-,-,-,-,-,-,-
192,ANUPAMA FEEDS & FARMS,SMERA BB+,15-Jan-15,SMERA BB+/SMERA A4+,03-May-16,Indicative,16-Jan-18,-,-,-,-,-,-
193,A-ONE STEEL & ALLOYS PRIVATE LIMITED,SMERA B,10-Nov-14,Suspended,24-Feb-16,-,-,-,-,-,-,-,-
194,APACE BUILDERS AND CONTRACTORS PRIVATE LIMITED,SMERA B+,26-Jul-16,Indicative,15-Nov-17,-,-,-,-,-,-,-,-
195,APEX AGENCY,SMERA B-/SMERA A4,21-May-14,SMERA B+/SMERA A4,10-Jul-15,Suspended,17-Nov-16,-,-,-,-,-,-
196,APEX ECOTECH PRIVATE LIMITED,SMERA BB-/SMERA A4+,08-Mar-18,-,-,-,-,-,-,-,-,-,-
197,APICORE PHARMACEUTICALS PRIVATE LIMITED,SMERA BB-/SMERA A4+,02-Apr-15,Suspended,27-May-16,-,-,-,-,-,-,-,-
198,APKON CRUSHERS,SMERA B+,05-Apr-17,-,-,-,-,-,-,-,-,-,-
199,APL CROP SCIENCE PRIVATE LIMITED,SMERA B,31-Mar-17,-,-,-,-,-,-,-,-,-,-
200,APLAB LIMITED,SMERA D,24-Aug-16,Indicative,31-Oct-17,-,-,-,-,-,-,-,-
201,APLS AUTOMOTIVE INDUSTRIES PRIVATE LIMITED,SMERA B/SMERA A4,30-Jan-14,Suspended,04-Jun-15,-,-,-,-,-,-,-,-
202,APOLLO ENTERPRISES,SMERA D,01-Aug-14,Suspended,31-Oct-15,-,-,-,-,-,-,-,-
203,APOORVA IT SOLUTIONS PRIVATE LIMITED,SMERA BB/SMERA A4+,21-Dec-16,-,-,-,-,-,-,-,-,-,-
204,APURVI INDUSTRIES,SMERA BB-/SMERA A4,30-Nov-16,Indicative,19-Feb-18,-,-,-,-,-,-,-,-
205,AQUA MATRIX SYSTEM PRIVATE LIMITED,SMERA B+/SMERA A4,27-Aug-15,Suspended,09-Nov-16,-,-,-,-,-,-,-,-
206,ARADHANA DISTRIBUTORS PRIVATE LIMITED,SMERA B-,18-Jul-16,Indicative,23-Sep-17,-,-,-,-,-,-,-,-
207,ARADHYA AGRO INDUSTRIES,SMERA B,16-Sep-16,SMERA B+,13-Dec-17,-,-,-,-,-,-,-,-
208,ARASU AUTOS (THANJAVUR),SMERA B+/SMERA A4,21-Jun-16,-,-,-,-,-,-,-,-,-,-
209,ARASU AUTOS (THIRUVARUR),SMERA B/SMERA A4,21-Jun-16,-,-,-,-,-,-,-,-,-,-
210,ARASU JEWELS,SMERA B,03-Jun-16,-,-,-,-,-,-,-,-,-,-
211,ARAVALI PRINTERS & PUBLISHERS PRIVATE LIMITED,SMERA B+/SMERA A4,29-Apr-15,Suspended,20-Jun-16,-,-,-,-,-,-,-,-
212,ARCADIA REALTY PRIVATE LIMITED,SMERA B/SMERA A4,14-Aug-15,Suspended,24-Oct-16,-,-,-,-,-,-,-,-
213,ARCEDGES BUILDING INDIA LLP,SMERA B-,25-Apr-17,-,-,-,-,-,-,-,-,-,-
214,ARCHANA MOTORS PRIVATE LIMITED,SMERA B,11-Jul-14,SMERA B-,16-Nov-15,Indicative,16-Feb-17,-,-,-,-,-,-
215,ARCHISHA EDUCATIONAL TRUST,SMERA BB+,22-Aug-16,Indicative,15-Nov-17,-,-,-,-,-,-,-,-
216,ARCL ORGANICS LIMITED,SMERA B-/SMERA A4,17-Feb-15,SMERA B/SMERA A4,08-Apr-17,-,-,-,-,-,-,-,-
217,ARDHINUSA DRILLING PRIVATE LIMITED,SMERA B+/SMERA A4,11-Apr-17,-,-,-,-,-,-,-,-,-,-
218,ARIES COLORCHEM PRIVATE LIMITED,SMERA BBB-/SMERA A3,27-Mar-14,SMERA BBB/SMERA A3+,22-Jul-14,SMERA BBB+/SMERA A2,29-Jan-18,-,-,-,-,-,-
219,ARIES DYE CHEM INDUSTRIES,SMERA BBB/SMERA A3+,12-Nov-13,Withdrawn,02-Feb-18,-,-,-,-,-,-,-,-
220,ARIES FOODS & FRUITS,SMERA A4,15-Jan-15,Suspended,13-Apr-16,-,-,-,-,-,-,-,-
221,ARIES ORGANICS PRIVATE LIMITED,SMERA BBB/SMERA A3+,12-Nov-13,Withdrawn,02-Feb-18,-,-,-,-,-,-,-,-
222,ARIHANT CONSTRUCTIONS,SMERA BBB-,24-Sep-16,-,-,-,-,-,-,-,-,-,-
223,ARIHANT TRADERS,SMERA BB-,12-Feb-16,Indicative,04-May-17,-,-,-,-,-,-,-,-
224,ARIHANT WHEELS & CYCLES PRIVATE LIMITED,SMERA D,08-Jul-16,Indicative,06-Oct-17,-,-,-,-,-,-,-,-
225,ARISTOS ELECTRONIC MANUFACTURING SERVICES PRIVATE LIMI,ESDMERA B-/SMERA A4,26-Apr-17,-,-,-,-,-,-,-,-,-,-
226,ARJAV DIAMONDS (INDIA) PRIVATE LIMITED,SMERA A-,06-Dec-17,-,-,-,-,-,-,-,-,-,-
227,ARJUN ENTERPRISES PRIVATE LIMITED,SMERA BB-/SMERA A4+,01-Jun-17,-,-,-,-,-,-,-,-,-,-
228,ARJUNA NATURAL EXTRACTS LIMITED,SMERA A/SMERA A1,15-Nov-17,-,-,-,-,-,-,-,-,-,-
229,ARM & HAMMER FORGINGS PRIVATE LIMITED,SMERA D,16-Jan-15,Indicative,25-Sep-17,-,-,-,-,-,-,-,-
230,ARMANI INDUSTRIES INDIA PRIVATE LIMITED,SMERA B/SMERA A4,06-Apr-15,SMERA BB-/SMERA A4+,07-Jan-16,-,-,-,-,-,-,-,-
231,ARMEE INFOTECH PRIVATE LIMITED,SMERA BBB-/SMERA A3,28-Mar-18,-,-,-,-,-,-,-,-,-,-
232,ARMIN INDUSTRIES,SMERA BB-,07-Nov-17,-,-,-,-,-,-,-,-,-,-
233,ARMOR KARTONS,SMERA B+,13-Dec-17,-,-,-,-,-,-,-,-,-,-
"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
234,ARMSTRONG (INDIA) CONSTRUCTION,SMERA B+/SMERA A4,27-Jun-16,Indicative,22-Sep-17,-,-,-,-,-,-,-,-
235,ARNOTHAYA MILLS,SMERA BB/SMERA A4+,19-Oct-15,Indicative,15-Feb-17,SMERA BB+/SMERA A4+,16-Mar-17,-,-,-,-,-,-
236,AROMA CHEMICALS,SMERA B/SMERA A4,07-Jan-15,Suspended,19-Feb-16,-,-,-,-,-,-,-,-
237,ARROW POWERTECH PRIVATE LIMITED,SMERA B/SMERA A4,30-Jul-14,Suspended,02-Nov-15,SMERA B+/SMERA A4,07-Dec-15,Indicative,04-Mar-17,-,-,-,-
238,ARS FABRICS PRIVATE LIMITED,SMERA B,30-Apr-13,Suspended,15-Jul-14,-,-,-,-,-,-,-,-
239,ARUDRA ENGINEERS PRIVATE LIMITED,SMERA A/SMERA A1,09-May-14,-,-,-,-,-,-,-,-,-,-
240,ARUN INTERNATIONAL,SMERA B-/SMERA A4,10-Feb-15,Suspended,28-Apr-16,-,-,-,-,-,-,-,-
241,ARUN VYAPAR UDYOG PRIVATE LIMITED,SMERA BBB-/SMERA A3,22-Jan-18,-,-,-,-,-,-,-,-,-,-
242,ARUNACHALA GOUNDER TEXTILE MILLS PRIVATE LIMITED,SMERA BBB-/SMERA A3,26-Feb-18,-,-,-,-,-,-,-,-,-,-
243,ARVIND AND RAJAN CONSTRUCTIONS,SMERA BB/SMERA A4+,17-May-17,-,-,-,-,-,-,-,-,-,-
244,ARVIND REALTORS PRIVATE LIMITED,SMERA BB-,09-Mar-18,-,-,-,-,-,-,-,-,-,-
245,ARWADE INFRASTRUCTURE LIMITED,SMERA BBB-/SMERA A3,20-Dec-17,-,-,-,-,-,-,-,-,-,-
246,ARYAVRAT TRADING PRIVATE LIMITED,SMERA BB,16-Nov-15,SMERA BB-,10-Feb-17,-,-,-,-,-,-,-,-
247,ARYAVRATA STEEL PRIVATE LIMITED,SMERA BB+/SMERA A4+,21-Nov-16,Indicative,12-Mar-18,-,-,-,-,-,-,-,-
248,ASENCE PHARMA PRIVATE LIMITED,SMERA B+/SMERA A4,03-Feb-17,-,-,-,-,-,-,-,-,-,-
249,ASHA CONSTRUCTION,SMERA BB-/SMERA A4,11-Dec-17,-,-,-,-,-,-,-,-,-,-
250,ASHA DIAMOND,SMERA BB,21-Jan-16,Indicative,21-Apr-17,SMERA BBB-,31-Jan-18,-,-,-,-,-,-
251,ASHAPURA PAPER MILLS PRIVATE LIMITED,SMERA B+/SMERA A4,20-Aug-14,Suspended,26-Nov-15,-,-,-,-,-,-,-,-
252,ASHAPURI EXIM PRIVATE LIMITED,SMERA B/SMERA A4,20-Mar-17,-,-,-,-,-,-,-,-,-,-
253,ASHIRVAD AGRO PROCESSORS,SMERA B+,18-Nov-16,SMERA BB-,23-Mar-18,-,-,-,-,-,-,-,-
254,ASHIRVAD FOOD PRODUCTS PRIVATE LIMITED,SMERA B/SMERA A4,05-Jan-15,Suspended,29-Mar-16,-,-,-,-,-,-,-,-
255,ASHIRVAD POLYSAC PRIVATE LIMITED,SMERA B/SMERA A4,08-Dec-17,-,-,-,-,-,-,-,-,-,-
256,ASHISH TIMBER DEPOT,SMERA B/SMERA A4,01-Aug-16,-,-,-,-,-,-,-,-,-,-
257,ASHOK KUMAR MITTAL,SMERA BB/SMERA A4+,24-Feb-18,-,-,-,-,-,-,-,-,-,-
258,ASHOKA ASSOCIATES,SMERA BB-/SMERA A4,12-Dec-16,Indicative,29-Jan-18,-,-,-,-,-,-,-,-
259,ASHOKA BELGAUM DHARWAD TOLLWAY LIMITED,SMERA BBB(SO),21-Jan-17,Withdrawn,16-Oct-17,-,-,-,-,-,-,-,-
260,ASHOKA BUILDCON LIMITED,SMERA AA-/SMERA A1+,11-Jul-17,-,-,-,-,-,-,-,-,-,-
261,ASHOKA BUILDCON LIMITED,SMERA A1+,11-Jul-17,-,-,-,-,-,-,-,-,-,-
262,ASHOKA DHANKUNI KHARAGPUR TOLLWAY LIMITED,SMERA BBB+(SO),24-May-17,-,-,-,-,-,-,-,-,-,-
263,ASHOKA DRUGS & CHEMICALS,SMERA BB,02-Mar-16,Indicative,26-May-17,-,-,-,-,-,-,-,-
264,ASHOKA MACHINE TOOLS INTERNATIONAL PRIVATE LIMITED,SMERA B/SMERA A4,14-Jan-14,Suspended,20-Jan-15,-,-,-,-,-,-,-,-
265,ASHOO DECOR INDIA,SMERA BB-/SMERA A4+,20-Jul-15,Indicative,12-Mar-18,-,-,-,-,-,-,-,-
266,ASHUTOSH METAL PRIVATE LIMITED,SMERA BBB-/SMERA A3,18-Jan-18,-,-,-,-,-,-,-,-,-,-
267,ASIATIC TRADERS,SMERA BBB-/SMERA A3,13-May-17,-,-,-,-,-,-,-,-,-,-
268,ASM INDUSTRIES INDIA PRIVATE LIMITED,SMERA B+/SMERA A4,06-Jun-14,SMERA BB-/SMERA A4,20-May-15,SMERA BB-/SMERA A4+,09-May-16,-,-,-,-,-,-
269,ASOMI FINANCE PRIVATE LIMITED,SMERA BB,04-May-17,-,-,-,-,-,-,-,-,-,-
270,ASPA BANDSONS AUTO PRIVATE LIMITED,SMERA BBB,20-Nov-17,-,-,-,-,-,-,-,-,-,-
271,AS-SALAM CHARITABLE AND EDUCATIONAL TRUST,SMERA D,01-Jul-13,Suspended,30-Jul-14,-,-,-,-,-,-,-,-
272,ASSOCIATED CHEMICAL CORPORATION,SMERA BB/SMERA A4+,27-Dec-16,-,-,-,-,-,-,-,-,-,-
273,ASSOCIATED INDUSTRIAL FURNACES PRIVATE LIMITED,SMERA B-/SMERA A4,03-Jul-17,-,-,-,-,-,-,-,-,-,-
274,ASSOCIATED INSULATION COMPANY,SMERA B-/SMERA A4,26-Dec-17,-,-,-,-,-,-,-,-,-,-
275,ASSOCIATED TOOLINGS (INDIA) PRIVATE LIMITED,SMERA B/SMERA A4,22-Mar-16,SMERA B-/SMERA A4,24-Jul-17,-,-,-,-,-,-,-,-
276,ASTER INDUSTRIES,SMERA BB-/SMERA A4,12-Dec-17,-,-,-,-,-,-,-,-,-,-
277,ASTITVA EXIM,SMERA A4,22-Mar-17,-,-,-,-,-,-,-,-,-,-
278,ASWINS HOME SPECIAL,SMERA B,08-Dec-17,-,-,-,-,-,-,-,-,-,-
279,ATLAS CONSTRUCTIONS PRIVATE LIMITED,SMERA BB-/SMERA A4+,04-Jun-15,Suspended,23-Jul-16,-,-,-,-,-,-,-,-
280,AUDARYA CONSTRUCTION PRIVATE LIMITED,SMERA BB-/SMERA A4,05-Apr-16,-,-,-,-,-,-,-,-,-,-
281,AULAKH HEALTH CARE,SMERA B,30-Sep-17,-,-,-,-,-,-,-,-,-,-
282,AURANGABAD GYMKHANA CLUB PRIVATE LIMITED,SMERA B,22-Dec-17,-,-,-,-,-,-,-,-,-,-
283,AURANGABAD STEEL CORPORATION,SMERA B,21-May-15,Suspended,20-Jun-16,-,-,-,-,-,-,-,-
284,AUROPOL INDIA PRIVATE LIMITED,SMERA B+/SMERA A4,11-Mar-17,Withdrawn,04-Jan-18,-,-,-,-,-,-,-,-
285,AUSTIN PARFETT ENGINEERING PRIVATE LIMITED,SMERA B-,14-Apr-16,Indicative,25-Sep-17,-,-,-,-,-,-,-,-
286,AUTO AXIS PRIVATE LIMITED,SMERA BB-/SMERA A4,11-May-15,Indicative,13-Sep-17,-,-,-,-,-,-,-,-
287,AUTO KASHYAP INDIA PRIVATE LIMITED,SMERA B/SMERA A4,31-Jul-13,Suspended,18-Nov-14,-,-,-,-,-,-,-,-
288,AUTOCOP INDIA PRIVATE LIMITED,SMERA BBB/SMERA A3+,29-Jul-13,SMERA BBB-/SMERA A3+,17-Mar-16,-,-,-,-,-,-,-,-
289,AUTOMETERS ALLIANCE LIMITED,SMERA BBB-/SMERA A3,03-Mar-17,-,-,-,-,-,-,-,-,-,-
290,AUTOMETERS ENERGITEC LIMITED,SMERA BB-/SMERA A4+,24-Aug-17,-,-,-,-,-,-,-,-,-,-
291,AUTOPACK MACHINES PRIVATE LIMITED,SMERA BB+/SMERA A4+,19-Sep-16,-,-,-,-,-,-,-,-,-,-
"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
292,AVADH INFRA PROJECT,SMERA BB,14-Mar-18,-,-,-,-,-,-,-,-,-,-
293,AVANTI MILLS WORKERS INDUSTRIAL CO-OPERATIVE LIMITED,SMERA B,16-Oct-15,Suspended,26-Dec-16,-,-,-,-,-,-,-,-
294,AVIA XPERT PRIVATE LIMITED,SMERA BB+/SMERA A4+,21-Mar-18,-,-,-,-,-,-,-,-,-,-
295,AVIK POLYCHEM,SMERA BB-/SMERA A4+,04-Aug-17,-,-,-,-,-,-,-,-,-,-
296,AVIS INDIA,SMERA BB+,05-Oct-16,-,-,-,-,-,-,-,-,-,-
297,AVK ISPAT PRIVATE LIMITED,SMERA BBB-,25-Oct-17,-,-,-,-,-,-,-,-,-,-
298,AVLIGHT AUTOMOTIVES PRIVATE LIMITED,SMERA BBB-,16-Oct-15,-,-,-,-,-,-,-,-,-,-
299,AVMARK POLYMERS PRIVATE LIMITED,SMERA B+,26-Apr-16,Indicative,25-Sep-17,-,-,-,-,-,-,-,-
300,AVON MOLD PLAST PRIVATE LIMITED,SMERA B,12-Nov-16,-,-,-,-,-,-,-,-,-,-
301,AWATE ENGINEERING PRIVATE LIMITED,SMERA B-/SMERA A4,02-Apr-15,SMERA D,06-Sep-16,-,-,-,-,-,-,-,-
302,AXI LAM PRIVATE LIMITED,SMERA B+,21-Mar-17,-,-,-,-,-,-,-,-,-,-
303,AXON SYSTEMS PRIVATE LIMITED,SMERA BB,15-Jun-15,Suspended,23-Aug-16,-,-,-,-,-,-,-,-
304,AYAAN TRENDZ PRIVATE LIMITED,SMERA BB+,19-Dec-16,Indicative,13-Mar-18,-,-,-,-,-,-,-,-
305,AYURWIN PHARMA PRIVATE LIMITED,SMERA BBB-,15-Jul-15,Indicative,15-Feb-17,SMERA D,10-Jul-17,-,-,-,-,-,-
306,AZAD INDUSTRIES,SMERA B+,19-Sep-17,-,-,-,-,-,-,-,-,-,-
307,AZINE HEALTHCARE PRIVATE LIMITED,SMERA B+/SMERA A4,11-Sep-17,-,-,-,-,-,-,-,-,-,-
308,AZURE POWER ERIS PRIVATE LIMITED,SMERA BBB,30-May-17,-,-,-,-,-,-,-,-,-,-
309,B B INTERNATIONAL,SMERA B,23-Mar-17,-,-,-,-,-,-,-,-,-,-
310,B C MOHANTY AND SONS PRIVATE LIMITED,SMERA BBB,08-Mar-18,-,-,-,-,-,-,-,-,-,-
311,B D INDUSTRIES INDIA PRIVATE LIMITED,SMERA B+/SMERA A4,21-Aug-17,-,-,-,-,-,-,-,-,-,-
312,B D INDUSTRIES PUNE PRIVATE LIMITED,SMERA B+/SMERA A4,21-Aug-17,-,-,-,-,-,-,-,-,-,-
313,B D RICE EXPORTS SUBHASH CHAND (HUF),SMERA B,19-Dec-17,-,-,-,-,-,-,-,-,-,-
314,B GHOSE & CO PRIVATE LIMITED,SMERA BB+/SMERA A4+,19-May-17,-,-,-,-,-,-,-,-,-,-
315,B K DEVELOPERS,SMERA BBB-,15-Sep-15,Indicative,12-Mar-18,-,-,-,-,-,-,-,-
316,B K ROLLING MILLS PRIVATE LIMITED,SMERA BB-,09-May-17,-,-,-,-,-,-,-,-,-,-
317,B L KASHYAP AND SONS LIMITED,SMERA D,21-Jun-17,-,-,-,-,-,-,-,-,-,-
318,B L MEHTA CONSTRUCTIONS PRIVATE LIMITED,SMERA BB-/SMERA A4,07-Jul-15,Suspended,08-Oct-16,-,-,-,-,-,-,-,-
319,B M ELECTROTECH CASTINGS PRIVATE LIMITED,SMERA B,07-Jan-15,SMERA B+,06-Jan-16,-,-,-,-,-,-,-,-
320,B M HABITAT,SMERA B-,22-Apr-14,Suspended,14-Oct-15,-,-,-,-,-,-,-,-
321,B MANEK EXPORTS,SMERA BB,26-Nov-13,Suspended,13-Mar-15,-,-,-,-,-,-,-,-
322,B N CHAVAN,SMERA BB/SMERA A4+,02-May-17,-,-,-,-,-,-,-,-,-,-
323,B N JEWELLERS,SMERA BBB-,15-Apr-15,-,-,-,-,-,-,-,-,-,-
324,B N SONS,SMERA BB-/SMERA A4,23-Jul-15,Indicative,09-Jan-18,-,-,-,-,-,-,-,-
325,B NANJI A,SMERA B-,13-Nov-17,-,-,-,-,-,-,-,-,-,-
326,B P EQUITIES PRIVATE LIMITED,SMERA BBB/SMERA A3+,05-Nov-15,SMERA BBB+/SMERA A2,16-Mar-18,-,-,-,-,-,-,-,-
327,B R R AQUA TRADERS PRIVATE LIMITED,SMERA B+,31-Jan-18,-,-,-,-,-,-,-,-,-,-
328,B S APPAREL,SMERA BBB-/SMERA A3,08-Jul-17,-,-,-,-,-,-,-,-,-,-
329,B U BHANDARI VAASTU,SMERA B,01-Sep-16,Indicative,15-Nov-17,-,-,-,-,-,-,-,-
330,B Y AGRO & INFRA LIMITED,SMERA B-,19-Jan-16,-,-,-,-,-,-,-,-,-,-
331,BABA FARID SPUN PIPES,SMERA B,28-Jan-15,SMERA B+,20-May-16,Withdrawn,12-Sep-17,-,-,-,-,-,-
332,BABA JATADHARI AGRO (INDIA) PRIVATE LIMITED,SMERA D,01-Mar-16,Indicative,26-Sep-17,-,-,-,-,-,-,-,-
333,BABA SEWA SINGH INDUSTRIES,SMERA B+,11-Dec-14,Indicative,15-May-17,-,-,-,-,-,-,-,-
334,BADDI FOILS PRIVATE LIMITED,SMERA B+/SMERA A4,13-Jul-15,SMERA BB/SMERA A4+,18-Jan-16,SMERA BB+/SMERA A4+,07-Mar-17,-,-,-,-,-,-
335,BADRINATH COTTON,SMERA B,13-Oct-16,-,-,-,-,-,-,-,-,-,-
336,BAGADIA BROTHERS,SMERA B+/SMERA A4,11-Mar-15,SMERA BB-/SMERA A4+,11-Mar-16,SMERA B+/SMERA A4,08-Jun-17,-,-,-,-,-,-
337,BAGHMARI TEA COMPANY LIMITED,SMERA BB/SMERA A4+,05-Feb-18,-,-,-,-,-,-,-,-,-,-
338,BAGKIYA CONSTRUCTIONS PRIVATE LIMITED,SMERA BB-/SMERA A4+,29-May-17,-,-,-,-,-,-,-,-,-,-
339,BAGLA POLIFILMS LIMITED,SMERA BB/SMERA A4+,20-Oct-16,SMERA BB+/SMERA A4+,08-Dec-17,-,-,-,-,-,-,-,-
340,BAHL BUILDERS PRIVATE LIMITED,SMERA BB/SMERA A4+,21-Aug-17,-,-,-,-,-,-,-,-,-,-
341,BAIDYANATH MINERALS PRIVATE LIMITED,SMERA B,10-Feb-17,-,-,-,-,-,-,-,-,-,-
342,BAJRANG AGRO INDUSTRIES PRIVATE LIMITED,SMERA BBB-/SMERA A3,10-Jun-16,Indicative,17-Aug-17,-,-,-,-,-,-,-,-
343,BAJWA DEVELOPERS LIMITED,SMERA BB,25-Jun-14,Suspended,14-Oct-15,-,-,-,-,-,-,-,-
344,BALA SUNDRI RICE MILLS,SMERA B,30-Mar-16,Indicative,12-May-17,SMERA D,26-Jul-17,-,-,-,-,-,-
345,BALAJEE STRUCTURALS INDIA LIMITED,SMERA BB+,27-Dec-13,Suspended,20-Mar-15,-,-,-,-,-,-,-,-
346,BALAJI AGRO PRIVATE LIMITED,SMERA BB/SMERA A4+,22-Jan-18,-,-,-,-,-,-,-,-,-,-
347,BALAJI ASSOCIATES,SMERA BB-,21-Apr-16,Indicative,31-Aug-17,-,-,-,-,-,-,-,-
348,BALAJI ENGINEERING,SMERA B/SMERA A4,11-Sep-15,Suspended,16-Dec-16,SMERA D,08-Jul-17,-,-,-,-,-,-
349,BALAJI EXPORTS,SMERA A4+,24-Jul-15,Suspended,24-Nov-16,-,-,-,-,-,-,-,-
350,BALAJI PRECISION TUBES (INDIA) PRIVATE LIMITED,SMERA B-,06-Apr-17,-,-,-,-,-,-,-,-,-,-
"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
351,BALAJI RICE INDUSTRIES,SMERA BB-,27-Feb-17,-,-,-,-,-,-,-,-,-,-
352,BALAJI RICE MILL,SMERA B,02-Nov-16,Indicative,31-Jan-18,-,-,-,-,-,-,-,-
353,BALAJI RICE MILL (ANDHRA PRADESH),SMERA BB-/SMERA A4+,27-Jun-17,-,-,-,-,-,-,-,-,-,-
354,BALAJI ROAD CONSTRUCTIONS,SMERA BB-/SMERA A4+,18-Mar-17,-,-,-,-,-,-,-,-,-,-
355,BALAJI STONE CRUSHING PLANT,SMERA BB-/SMERA A4,15-Jul-15,SMERA BB-/SMERA A4+,28-Sep-16,SMERA B+/SMERA A4,26-Sep-17,-,-,-,-,-,-
356,BALAR BUILDCON PRIVATE LIMITED,SMERA D,12-Feb-14,Suspended,02-Jun-15,-,-,-,-,-,-,-,-
357,BALI STEEL TUBES,SMERA BB,13-Sep-16,Indicative,29-Dec-17,-,-,-,-,-,-,-,-
358,BALIGA INVESTMENTS PRIVATE LIMITED,SMERA B,02-Dec-16,Indicative,23-Feb-18,-,-,-,-,-,-,-,-
359,BALIGA LIGHTING EQUIPMENTS PRIVATE LIMITED,SMERA BB+/SMERA A4+,30-Dec-16,SMERA BBB-/SMERA A3,15-Mar-18,-,-,-,-,-,-,-,-
360,BALIRAJA SAKHAR KARKHANA LIMITED,SMERA B-,22-Dec-15,SMERA D,10-May-17,-,-,-,-,-,-,-,-
361,BALU IRON AND STEEL COMPANY,SMERA B-,06-Aug-15,Suspended,27-Aug-16,-,-,-,-,-,-,-,-
362,BANARSI DASS COTTON MILLS PRIVATE LIMITED,SMERA B,29-Dec-15,Indicative,10-Mar-17,-,-,-,-,-,-,-,-
363,BANERJEE AUTO CORPORATION,SMERA BB-,03-Feb-16,Indicative,02-Mar-17,-,-,-,-,-,-,-,-
364,BANGALORE BIOTECH LABS PRIVATE LIMITED,SMERA BBB-/SMERA A3,30-Apr-13,Suspended,08-Sep-14,-,-,-,-,-,-,-,-
365,BANGALORE METALLURGICALS PRIVATE LIMITED,SMERA BB-,31-Oct-17,-,-,-,-,-,-,-,-,-,-
366,BANSAL IRON AND STEEL TRADERS,SMERA BB,15-Dec-17,-,-,-,-,-,-,-,-,-,-
367,BANSAL REAL TECH LIMITED,SMERA BB+/SMERA A4+,04-Jul-16,"SMERA D(Indicative-Downgraded)",06-Oct-17,-,-,-,-,-,-,-,-
368,BANSAL TRADELINKERS PRIVATE LIMITED,SMERA D,01-Dec-15,Indicative,08-Feb-17,-,-,-,-,-,-,-,-
369,BARNALA STEEL INDUSTRIES,SMERA B+,30-Mar-15,Indicative,29-May-17,-,-,-,-,-,-,-,-
370,BAROQUE PHARMACEUTICALS PRIVATE LIMITED,SMERA BB/SMERA A4+,16-Apr-15,Suspended,30-Jun-16,-,-,-,-,-,-,-,-
371,BASANT TEXFAB PRIVATE LIMITED,SMERA B+/SMERA A4,22-Nov-13,SMERA D,16-Oct-14,Suspended,11-Jan-16,-,-,-,-,-,-
372,BATHSHA MARINE EXPORTS PRIVATE LIMITED,SMERA B-/SMERA A4,19-Jan-16,Indicative,16-May-17,SMERA D,22-Aug-17,-,-,-,-,-,-
373,BATRA AUTO COMPANY,SMERA BB-,05-May-15,Suspended,26-Aug-16,-,-,-,-,-,-,-,-
374,BB ASIA IMPEX PRIVATE LIMITED,SMERA BB/SMERA A4+,16-Jul-15,-,-,-,-,-,-,-,-,-,-
375,BCITS PRIVATE LIMITED,SMERA BB+/SMERA A4+,18-Dec-17,-,-,-,-,-,-,-,-,-,-
376,BCPL RAILWAY INFRASTRUCTURE LIMITED,SMERA BB+/SMERA A4+,31-Mar-15,SMERA BBB-/SMERA A3,30-Nov-15,SMERA BB+/SMERA A4+,15-Mar-17,-,-,-,-,-,-
377,BDJ OXIDES PRIVATE LIMITED,SMERA B+/SMERA A4,04-Apr-17,-,-,-,-,-,-,-,-,-,-
378,BEARDSELL LIMITED,SMERA BB+/SMERA A4+,07-Oct-14,SMERA BBB-/SMERA A3,29-Sep-16,SMERA BBB/SMERA A3+,30-Dec-17,-,-,-,-,-,-
379,BELLA JEWELRY PRIVATE LIMITED,SMERA A4,28-Dec-17,-,-,-,-,-,-,-,-,-,-
380,BERRY ALLOYS LIMITED,SMERA D,08-Aug-16,SMERA B+/SMERA A4,24-Jul-17,-,-,-,-,-,-,-,-
381,BEST CROP SCIENCE LLP,SMERA BB,26-Dec-17,-,-,-,-,-,-,-,-,-,-
382,BEST KOKI AUTOMOTIVE PRIVATE LIMITED,SMERA BBB+/SMERA A2,06-May-15,Suspended,02-Aug-16,SMERA BBB+/SMERA A2,21-Nov-16,-,-,-,-,-,-
383,BETEX INDIA LIMITED,SMERA BBB-,04-Jun-15,-,-,-,-,-,-,-,-,-,-
