"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
95,AJAY TRADING COMPANY,SMERA BB/SMERA A4+,02-Apr-15,-,-,-,-,-,-,-,-,-,-
96,AJIT AGRO INDUSTRIES,SMERA B+,26-Feb-16,Indicative,18-Oct-17,-,-,-,-,-,-,-,-
97,AJMERA METALS INDORE PRIVATE LIMITED,SMERA B/SMERA A4,09-Jan-18,-,-,-,-,-,-,-,-,-,-
98,AKAL SPRING LIMITED,SMERA B+,28-Nov-16,Indicative,06-Mar-18,-,-,-,-,-,-,-,-
99,AKASH COKE INDUSTRIES PRIVATE LIMITED,SMERA BB-/SMERA A4,17-Nov-15,-,-,-,-,-,-,-,-,-,-
100,AKCROS POLYMERS PRIVATE LIMITED,SMERA BB,28-Dec-17,-,-,-,-,-,-,-,-,-,-
101,AKME FINCON LIMITED,SMERA BB+,14-Sep-16,Indicative,16-Jan-18,-,-,-,-,-,-,-,-
102,AKME FINTRADE (INDIA) LIMITED,SMERA BBB+,13-Mar-18,-,-,-,-,-,-,-,-,-,-
103,AKME FINTRADE (INDIA) LIMITED,SMERA FA,13-Mar-18,-,-,-,-,-,-,-,-,-,-
104,AKME STAR HOUSING FINANCE LIMITED,SMERA BB+,14-Sep-16,Indicative,11-Dec-17,SMERA BBB-,13-Mar-18,-,-,-,-,-,-
105,AKSHARA ENTERPRISES PRIVATE LIMITED,SMERA BB/SMERA A4+,15-Dec-17,-,-,-,-,-,-,-,-,-,-
106,AKSHAY KHANDELWAL TUBES & ISPAT PRIVATE LIMITED,SMERA BB,29-Sep-16,Indicative,30-Nov-17,-,-,-,-,-,-,-,-
107,AKSHERA PAPERS,SMERA B+/SMERA A4,06-Jan-14,SMERA BB/SMERA A4+,09-Dec-16,SMERA BB+/SMERA A4+,23-Nov-17,-,-,-,-,-,-
108,ALAKNANDA PRINTERS PRIVATE LIMITED,SMERA BB-,24-Jun-15,SMERA B,05-Jul-16,Indicative,15-Nov-17,-,-,-,-,-,-
109,ALAM TANNERY PRIVATE LIMITED,SMERA B/SMERA A4,22-Aug-17,-,-,-,-,-,-,-,-,-,-
110,ALAND CERAMIC PRIVATE LIMITED,SMERA BB-/SMERA A4+,28-Mar-18,-,-,-,-,-,-,-,-,-,-
111,ALCOB INDIA PRIVATE LIMITED,SMERA BB-/SMERA A4+,29-Aug-13,SMERA BB/SMERA A4+,18-Aug-15,SMERA BB-/SMERA A4,21-Nov-16,Indicative,10-Feb-18,-,-,-,-
112,ALEKHYA DRUGS PRIVATE LIMITED,SMERA B/SMERA A4,15-Nov-16,Indicative,13-Feb-18,-,-,-,-,-,-,-,-
113,ALEX ASTRAL POWER PRIVATE LIMITED,SMERA A-,17-Jan-18,-,-,-,-,-,-,-,-,-,-
114,ALFA TEXTILES,SMERA BB-,09-Feb-17,-,-,-,-,-,-,-,-,-,-
"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
115,ALIGARH ROLLER FLOUR MILLS PRIVATE LIMITED,SMERA B,01-Apr-16,Indicative,14-Jul-17,-,-,-,-,-,-,-,-
116,ALLIANCE PETROLEUMS PRIVATE LIMITED,SMERA B-,01-Jul-14,Suspended,28-Sep-15,SMERA B-,08-Oct-16,Indicative,15-Dec-17,-,-,-,-
117,ALLIED ENGINEERING WORKS PRIVATE LIMITED,SMERA B+  /SMERA A4,01-Aug-13,SMERA BB-/SMERA A4,21-Oct-14,Suspended,22-Jan-16,SMERA B+/SMERA A4,09-Aug-16,-,-,-,-
118,ALMED LABORATORIES PRIVATE LIMITED,SMERA BB-,01-Mar-16,Indicative,03-Apr-17,-,-,-,-,-,-,-,-
119,ALOM EXTRUSIONS LIMITED,SMERA BB/SMERA A4+,11-Sep-17,-,-,-,-,-,-,-,-,-,-
120,ALOM POLY EXTRUSIONS LIMITED,SMERA B,15-Jul-16,Indicative,24-Oct-17,-,-,-,-,-,-,-,-
121,ALPHA PRINT MANAGEMENT SOLUTIONS,SMERA B,08-Dec-17,-,-,-,-,-,-,-,-,-,-
122,ALPHAVECTOR INDIA PRIVATE LIMITED,SMERA B/SMERA A4,11-Feb-16,Indicative,10-May-17,SMERA B+/SMERA A4,24-Nov-17,-,-,-,-,-,-
123,ALPINE DISTILLERIES PRIVATE LIMITED,SMERA BB/SMERA A4+,30-Dec-15,Indicative,09-Mar-17,-,-,-,-,-,-,-,-
124,ALPINE REALTECH PRIVATE LIMITED,SMERA D,07-Jan-15,-,-,-,-,-,-,-,-,-,-
125,AL-SAFA INDUSTRIES PRIVATE LIMITED,SMERA B+,02-Aug-16,Indicative,26-Sep-17,-,-,-,-,-,-,-,-
126,ALTRA PHARMA CHEM PRIVATE LIMITED,SMERA B+/SMERA A4,23-Jan-18,-,-,-,-,-,-,-,-,-,-
127,ALTRA PURE CHEM,SMERA B+/SMERA A4,22-Jan-18,-,-,-,-,-,-,-,-,-,-
