Sl. No.,Name of the Issuer,Initial Rating,"Date of Initial Rating",Rating after 1st revision,Date of 1st revision,"Rating after 2nd revision","Date of 2nd revision","Rating after 3rd revision","Date of 3rd revision","Rating after 4th revision","Date of 4th revision","Rating after 5th revision","Date of 5th revision","Rating after 6th revision","Date of 6th revision","Rating after 7th revision","Date of 7th revision","Rating after 8th revision",Date of 8th revision,"Rating after 9th revision","Date of 9th revision","Rating after 10th revision","Date of 10th revision","Rating after 11th revision","Date of 11th revision","Rating after 12th revision","Date of 12th revision","Rating after 13th revision","Date of 13th revision","Rating after 14th revision",Date of 14th revision,"Rating after 15th revision","Date of 15th revision","Rating after 16th revision","Date of 16th revision","Rating after 17th revision","Date of 17th revision","Rating after 18th revision",Date of 18th revision,"Rating after 19th revision","Date of 19th revision","Rating after 20th revision","Date of 20th revision","Rating after 21st revision",Date of 21st revision,"Rating after 22nd revision","Date of 22nd revision","Ratings Outstanding as on 31-March- 2018","Rating Date Outstanding as on 31-March-2018"
6242,Nidhi Ginning Industries BWR B+,,04-Mar-14,,,,,,,,,,,,,,,,,,,BWR B+,04-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,
6243,Nik San Engineering Company Ltd BWR B-,,09-Jun-17,,,,,,,,,,,,,,,,,,,BWR B-,09-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6244,Nik San Engineering Company Ltd BWR A4,,09-Jun-17,,,,,,,,,,,,,,,,,,,BWR A4,09-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6245,Nikhath Noor BWR BB-,,06-Jan-14,BWR BB-,02-Mar-15,NOT REVIEWED,06-Oct-16,BWR BB -,07-Nov-17,,,,,,,,,,,,,BWR BB -,07-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6246,Nikhil Mercantile Pvt Ltd BWR BB-,,08-Dec-16,BWR B +,16-Mar-18,,,,,,,,,,,,,,,,,BWR B +,16-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6247,Nikhil Sugar Ltd. BWR B-,,22-May-15,BWR B -,13-Mar-18,,,,,,,,,,,,,,,,,BWR B -,13-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6248,Nikita Papers Ltd BWR BB,,08-Aug-16,BWR BB,05-Dec-17,,,,,,,,,,,,,,,,,BWR BB,05-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6249,Nikita Papers Ltd BWR A4+,,08-Aug-16,BWR A4 +,05-Dec-17,,,,,,,,,,,,,,,,,BWR A4 +,05-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6250,Nikka Mal Pyare Lal Jain BWR B+,,07-Nov-16,BWR B -,26-Feb-18,,,,,,,,,,,,,,,,,BWR B -,26-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6251,Nikka Mal Pyare Lal Jain BWR A4,,07-Nov-16,BWR A4,26-Feb-18,,,,,,,,,,,,,,,,,BWR A4,26-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6252,Nikkamal Jewels Pvt. Ltd. BWR BB+,,01-Apr-14,BWR BB+,22-Sep-15,BWR BB,25-Jul-16,BWR B+,29-Dec-17,,,,,,,,,,,,,BWR B+,29-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6253,Nikkamal Jewels Pvt. Ltd. BWR A4,,25-Jul-16,BWR A4,29-Dec-17,,,,,,,,,,,,,,,,,BWR A4,29-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6254,Nila Infrastructures Ltd.  BWR BBB,,11-Jun-14,BWR BBB+,28-Dec-15,BWR BBB +,31-Jul-17,,,,,,,,,,,,,,,BWR BBB +,31-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6255,Nila Infrastructures Ltd.  BWR A3,,11-Jun-14,BWR A2,28-Dec-15,BWR A2,31-Jul-17,,,,,,,,,,,,,,,BWR A2,31-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6256,Nile Logistics Pvt Ltd BWR A4+,,19-May-16,,,,,,,,,,,,,,,,,,,BWR A4+,19-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6257,Nile Logistics Pvt Ltd BWR BB+,,19-May-16,,,,,,,,,,,,,,,,,,,BWR BB+,19-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6258,Nilkanth Cotton Industries BWR B +,,23-Mar-18,,,,,,,,,,,,,,,,,,,BWR B +,23-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6259,Nilkanth Ferro Limited BWR BBB-,,20-Apr-17,,,,,,,,,,,,,,,,,,,BWR BBB-,20-Apr-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6260,Nilkanth Ferro Limited BWR A3,,20-Apr-17,,,,,,,,,,,,,,,,,,,BWR A3,20-Apr-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6261,Nimai Kar  BWR A4,,25-Apr-17,,,,,,,,,,,,,,,,,,,BWR A4,25-Apr-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6262,Nimbus Beverages Pvt. Ltd. BWR BB+,,22-Jan-15,NOT REVIEWED,03-Jan-17,,,,,,,,,,,,,,,,,NOT REVIEWED,03-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6263,Nimish Syntex BWR BB-,,15-Feb-13,Rating Suspended,29-May-14,,,,,,,,,,,,,,,,,Rating Suspended,29-May-14,,,,,,,,,,,,,,,,,,,,,,,,,,
6264,Nimish Syntex BWR A4+,,15-Feb-13,Rating Suspended,29-May-14,,,,,,,,,,,,,,,,,Rating Suspended,29-May-14,,,,,,,,,,,,,,,,,,,,,,,,,,
6265,Nimisha Finance India Pvt Ltd BWR BB-,,10-Aug-16,BWR BB -,29-Nov-17,,,,,,,,,,,,,,,,,BWR BB -,29-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6266,Nimit Kraftpack Industries BWR BB-,,25-Jan-13,BWR BB,07-Nov-14,BWR BB+,23-Nov-15,BWR BB+,27-Apr-17,,,,,,,,,,,,,BWR BB+,27-Apr-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6267,Nimit Kraftpack Industries BWR A4+,,27-Apr-17,,,,,,,,,,,,,,,,,,,BWR A4+,27-Apr-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6268,Nimma Narayan Engineers & Contractors BWR B,,02-Jan-15,NOT REVIEWED,19-Dec-16,BWR B,15-Mar-18,,,,,,,,,,,,,,,BWR B,15-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6269,Nimma Narayan Engineers & Contractors BWR A4,,02-Jan-15,NOT REVIEWED,19-Dec-16,BWR A4,15-Mar-18,,,,,,,,,,,,,,,BWR A4,15-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6270,Ninestars Information Technologies Pvt. Ltd. BWR BBB,,31-Mar-15,NOT REVIEWED,29-Jul-16,,,,,,,,,,,,,,,,,NOT REVIEWED,29-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6271,Ninestars Information Technologies Pvt. Ltd. BWR A3+,,31-Mar-15,NOT REVIEWED,29-Jul-16,,,,,,,,,,,,,,,,,NOT REVIEWED,29-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6272,Nippy Jewellers BWR BB-,,11-Jul-13,BWR BB-,11-Sep-14,NOT REVIEWED,31-Dec-16,BWR B,23-Mar-18,,,,,,,,,,,,,BWR B,23-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6273,Nipra Packaging Pvt. Ltd. BWR B+,,11-Feb-16,BWR B+,16-May-17,,,,,,,,,,,,,,,,,BWR B+,16-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6274,Nipra Packaging Pvt. Ltd. BWR A4,,11-Feb-16,BWR A4,16-May-17,,,,,,,,,,,,,,,,,BWR A4,16-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6275,Nira Bhima Sahakari Sakhar Karkhana Ltd BWR B +,,06-Jul-17,,,,,,,,,,,,,,,,,,,BWR B +,06-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6276,Nirani Sugars Ltd. BWR BB+,,16-Sep-15,BWR BBB-,17-Aug-16,BWR BBB -,12-Feb-18,,,,,,,,,,,,,,,BWR BBB -,12-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6277,Nirani Sugars Ltd. BWR A4+,,16-Sep-15,BWR A3,17-Aug-16,BWR A3,12-Feb-18,,,,,,,,,,,,,,,BWR A3,12-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6278,Nirmal Wires Pvt. Ltd. (NWPL) BWR BB+,,12-Oct-12,NOT REVIEWED,23-Dec-16,BWR BB,29-Jan-18,,,,,,,,,,,,,,,BWR BB,29-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6279,Nirmal Wires Pvt. Ltd. (NWPL) BWR A4+,,12-Oct-12,NOT REVIEWED,23-Dec-16,BWR A4,29-Jan-18,,,,,,,,,,,,,,,BWR A4,29-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6280,Nirman Constructions BWR A4,,28-Sep-16,,,,,,,,,,,,,,,,,,,BWR A4,28-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6281,Nirman Constructions BWR BB,,28-Sep-16,,,,,,,,,,,,,,,,,,,BWR BB,28-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6282,Nirman Infra Steel Pvt Ltd. BWR B +,,10-Jan-18,,,,,,,,,,,,,,,,,,,BWR B +,10-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6283,Nirman Infra Steel Pvt Ltd. BWR A4,,10-Jan-18,,,,,,,,,,,,,,,,,,,BWR A4,10-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6284,Niros Ispat Private Limited BWR BB +,,22-Jun-17,,,,,,,,,,,,,,,,,,,BWR BB +,22-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6285,Niros Ispat Private Limited BWR A4,,22-Jun-17,,,,,,,,,,,,,,,,,,,BWR A4,22-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6286,Nirvan Fashions BWR BB -,,12-Jul-17,,,,,,,,,,,,,,,,,,,BWR BB -,12-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6287,Nirvan Fashions BWR A4,,12-Jul-17,,,,,,,,,,,,,,,,,,,BWR A4,12-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6288,Nishi Egg Poultry Product Private Limited BWR BB-,,10-Apr-17,,,,,,,,,,,,,,,,,,,BWR BB-,10-Apr-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6289,Nithya Bharath Textile Pvt. Ltd. BWR BB-,,06-Jan-15,NOT REVIEWED,28-Mar-17,,,,,,,,,,,,,,,,,NOT REVIEWED,28-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6290,Nithya Bharath Textile Pvt. Ltd. BWR A4,,06-Jan-15,NOT REVIEWED,28-Mar-17,,,,,,,,,,,,,,,,,NOT REVIEWED,28-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6291,Nithya Packaging Pvt Ltd BWR BBB-,,02-May-16,BWR BB,20-Nov-17,,,,,,,,,,,,,,,,,BWR BB,20-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6292,Nithya Packaging Pvt Ltd BWR A3,,02-May-16,BWR A4,20-Nov-17,,,,,,,,,,,,,,,,,BWR A4,20-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6293,Nitin M Pekhale BWR BB-,,28-Aug-13,NOT REVIEWED,01-Jun-17,BWR BB -,22-Mar-18,,,,,,,,,,,,,,,BWR BB -,22-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6294,Nitin M Pekhale BWR A4,,28-Aug-13,NOT REVIEWED,01-Jun-17,BWR A4,22-Mar-18,,,,,,,,,,,,,,,BWR A4,22-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6295,Nitin Spinners Ltd. BWR A-,,16-Oct-15,BWR A-,20-Jun-16,BWR A-,24-Jan-17,BWR A,08-Aug-17,,,,,,,,,,,,,BWR A,08-Aug-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6296,Nitin Spinners Ltd. BWR A2+,,16-Oct-15,BWR A2+,20-Jun-16,BWR A2+,24-Jan-17,BWR A1,08-Aug-17,,,,,,,,,,,,,BWR A1,08-Aug-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6297,Nitya Electrocontrols Pvt Ltd BWR BB,,14-Feb-18,,,,,,,,,,,,,,,,,,,BWR BB,14-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6298,Nitya Electrocontrols Pvt Ltd BWR A4,,14-Feb-18,,,,,,,,,,,,,,,,,,,BWR A4,14-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6299,Nivia SyntheticsPvt. Ltd BWR BBB,,16-May-17,,,,,,,,,,,,,,,,,,,BWR BBB,16-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6300,Niyati Construction Co BWR BB +,,02-Mar-18,,,,,,,,,,,,,,,,,,,BWR BB +,02-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6301,Niyati Construction Co BWR A4,,02-Mar-18,,,,,,,,,,,,,,,,,,,BWR A4,02-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6302,Nizamabad Agro Pvt. Ltd. BWR B+,,03-Dec-13,BWR B+,21-Apr-15,NOT REVIEWED,07-Feb-17,,,,,,,,,,,,,,,NOT REVIEWED,07-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6303,NJK Enterprises BWR BB +,,31-Mar-18,,,,,,,,,,,,,,,,,,,BWR BB +,31-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6304,NJK Enterprises BWR A4 +,,31-Mar-18,,,,,,,,,,,,,,,,,,,BWR A4 +,31-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6305,NK International BWR B,,21-Jul-17,,,,,,,,,,,,,,,,,,,BWR B,21-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6306,NK International BWR A4,,21-Jul-17,,,,,,,,,,,,,,,,,,,BWR A4,21-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6307,NK Polymers & Additives Mfg. Co BWR B-,,12-Feb-16,NOT REVIEWED,31-May-17,,,,,,,,,,,,,,,,,NOT REVIEWED,31-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6308,NK Polymers & Additives Mfg. Co BWR A4,,12-Feb-16,NOT REVIEWED,31-May-17,,,,,,,,,,,,,,,,,NOT REVIEWED,31-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6309,NK Toll Road Ltd. BWR BBB+,,13-Feb-17,BWR BBB +,31-Mar-18,,,,,,,,,,,,,,,,,BWR BBB +,31-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6310,NK Toll Road Ltd. BWR BBB+,,02-Jun-16,BWR BBB+,13-Feb-17,BWR BBB +,31-Mar-18,,,,,,,,,,,,,,,BWR BBB +,31-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6311,NKCM Spinners Pvt. Ltd. BWR BB,,06-Dec-13,NOT REVIEWED,12-Jun-15,BWR BB -,12-Oct-17,,,,,,,,,,,,,,,BWR BB -,12-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6312,NKCM Spinners Pvt. Ltd. BWR A4,,06-Dec-13,NOT REVIEWED,12-Jun-15,BWR A4,12-Oct-17,,,,,,,,,,,,,,,BWR A4,12-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6313,NLC India Ltd. (Erstwhile Neyveli Lignite Corporation Ltd.) BWR AAA,,23-Jul-14,BWR AAA,04-Aug-15,BWR AAA,22-Jul-16,BWR AAA,12-May-17,,,,,,,,,,,,,BWR AAA,12-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6314,NM FoodImpex Pvt. Ltd. BWR BB -,,16-Feb-18,,,,,,,,,,,,,,,,,,,BWR BB -,16-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6315,NM FoodImpex Pvt. Ltd. BWR A4,,16-Feb-18,,,,,,,,,,,,,,,,,,,BWR A4,16-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6316,NMS Enterprises Limited BWR B +,,19-Sep-17,,,,,,,,,,,,,,,,,,,BWR B +,19-Sep-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6317,NMS Enterprises Limited BWR A4,,19-Sep-17,,,,,,,,,,,,,,,,,,,BWR A4,19-Sep-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6318,Noel Pharma (India) Pvt Ltd BWR BB-,,29-Dec-16,,,,,,,,,,,,,,,,,,,BWR BB-,29-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6319,Noida Software Technology Park Ltd. BWR BB,,23-Dec-15,BWR B +,19-Dec-17,,,,,,,,,,,,,,,,,BWR B +,19-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6320,Noida Software Technology Park Ltd. BWR A4+,,23-Dec-15,BWR A4,19-Dec-17,,,,,,,,,,,,,,,,,BWR A4,19-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6321,Nokha Cold Store Pvt. Ltd BWR B+,,20-Apr-17,,,,,,,,,,,,,,,,,,,BWR B+,20-Apr-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6322,Nokha Cold Store Pvt. Ltd BWR A4,,20-Apr-17,,,,,,,,,,,,,,,,,,,BWR A4,20-Apr-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6323,Nokha Timber Store BWR B,,03-May-17,,,,,,,,,,,,,,,,,,,BWR B,03-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6324,Noni Biotech Pvt. Ltd. BWR BB,,16-Apr-13,BWR BB,20-Aug-14,NOT REVIEWED,22-Mar-17,,,,,,,,,,,,,,,NOT REVIEWED,22-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6325,North American Mercantile (I) Pvt. Ltd. BWR B+,,07-Mar-14,NOT REVIEWED,31-Mar-17,BWR B,26-Mar-18,,,,,,,,,,,,,,,BWR B,26-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6326,North American Mercantile (I) Pvt. Ltd. BWR A4,,07-Mar-14,NOT REVIEWED,31-Mar-17,BWR A4,26-Mar-18,,,,,,,,,,,,,,,BWR A4,26-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6327,North Bengal Food Products Private Limited BWR B +,,18-Jul-17,,,,,,,,,,,,,,,,,,,BWR B +,18-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6328,North Bengal Food Products Private Limited BWR A4,,18-Jul-17,,,,,,,,,,,,,,,,,,,BWR A4,18-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6329,North East Health City Pvt. Ltd. BWR BB-,,18-Jan-16,BWR BB,27-Oct-17,,,,,,,,,,,,,,,,,BWR BB,27-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6330,North East Plantations & Commercial Pvt Ltd BWR BB -,,13-Dec-17,,,,,,,,,,,,,,,,,,,BWR BB -,13-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6331,North East Plantations & Commercial Pvt Ltd BWR A4,,13-Dec-17,,,,,,,,,,,,,,,,,,,BWR A4,13-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6332,North East Roofing Pvt. Limited. BWR BBB+,,28-Feb-14,BWR BBB+,01-Apr-15,BWR BBB+,07-Apr-16,BWR BBB+,11-Apr-17,BWR BBB +,26-Mar-18,,,,,,,,,,,BWR BBB +,26-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6333,North Eastern Cables Pvt Ltd BWR BB -,,13-Dec-17,,,,,,,,,,,,,,,,,,,BWR BB -,13-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6334,North Eastern Cables Pvt Ltd BWR A4,,13-Dec-17,,,,,,,,,,,,,,,,,,,BWR A4,13-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6335,North Eastern Knowledge Foundation BWR BB,,27-Mar-17,,,,,,,,,,,,,,,,,,,BWR BB,27-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6336,North India Surgical Company BWR B,,27-Dec-13,NOT REVIEWED,29-Dec-16,,,,,,,,,,,,,,,,,NOT REVIEWED,29-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6337,North India Surgical Company BWR A4,,27-Dec-13,NOT REVIEWED,29-Dec-16,,,,,,,,,,,,,,,,,NOT REVIEWED,29-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6338,North Street Cooling Tower Pvt. Ltd. BWR BB-,,18-Jul-13,NOT REVIEWED,31-Dec-16,,,,,,,,,,,,,,,,,NOT REVIEWED,31-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6339,North Street Cooling Tower Pvt. Ltd. BWR A4,,18-Jul-13,NOT REVIEWED,31-Dec-16,,,,,,,,,,,,,,,,,NOT REVIEWED,31-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6340,North Western Karnataka Road Transport Corporation BWR B-,,10-Oct-13,BWR B,05-May-15,BWR B+,13-May-16,BWR B +,07-Sep-17,,,,,,,,,,,,,BWR B +,07-Sep-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6341,Northern Tannery BWR A4+,,03-Apr-14,BWR A4+,28-Sep-16,BWR A4,31-Mar-18,,,,,,,,,,,,,,,BWR A4,31-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6342,Northern Tannery BWR A4+,,28-Sep-16,,,,,,,,,,,,,,,,,,,BWR A4+,28-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6343,Nova Textiles Pvt Ltd BWR BB+,,14-Feb-17,BWR BBB -,04-Jan-18,,,,,,,,,,,,,,,,,BWR BBB -,04-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6344,Nova Textiles Pvt Ltd BWR A4,,14-Feb-17,BWR A3,04-Jan-18,,,,,,,,,,,,,,,,,BWR A3,04-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6345,Novamexx India Pvt. Ltd. BWR A4,,06-Aug-15,NOT REVIEWED,30-Dec-16,,,,,,,,,,,,,,,,,NOT REVIEWED,30-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6346,Novamexx India Pvt. Ltd. BWR B+,,06-Aug-15,NOT REVIEWED,30-Dec-16,,,,,,,,,,,,,,,,,NOT REVIEWED,30-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6347,Novatech Projcts India Pvt. Ltd. BWR BB+,,30-Sep-15,NOT REVIEWED,27-Jul-17,BWR BBB-,31-Mar-18,,,,,,,,,,,,,,,BWR BBB-,31-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6348,Novatech Projcts India Pvt. Ltd. BWR A4+,,30-Sep-15,NOT REVIEWED,27-Jul-17,BWR A3,31-Mar-18,,,,,,,,,,,,,,,BWR A3,31-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6349,Novelty Reddy and Reddy Motors Pvt Ltd BWR BB,,27-Mar-18,,,,,,,,,,,,,,,,,,,BWR BB,27-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6350,Novelty Reddy and Reddy Motors Pvt Ltd BWR A4,,27-Mar-18,,,,,,,,,,,,,,,,,,,BWR A4,27-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6351,Novus Green Energy Systems Pvt Ltd BWR BB+,,13-Jun-16,BWR BB,11-Sep-17,,,,,,,,,,,,,,,,,BWR BB,11-Sep-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6352,Novus Green Energy Systems Pvt Ltd BWR A4+,,13-Jun-16,BWR A4,11-Sep-17,,,,,,,,,,,,,,,,,BWR A4,11-Sep-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6353,NPY Solar Energy Pvt Ltd BWR C+,,06-Jan-17,,,,,,,,,,,,,,,,,,,BWR C+,06-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6354,NRC Industries Ltd BWR BB,,31-Jul-17,,,,,,,,,,,,,,,,,,,BWR BB,31-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6355,NRC Industries Ltd BWR A4,,31-Jul-17,,,,,,,,,,,,,,,,,,,BWR A4,31-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6356,NRI Agritech Pvt. Ltd BWR B +,,26-Oct-17,,,,,,,,,,,,,,,,,,,BWR B +,26-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6357,NRI Educational Society BWR B+,,30-Aug-13,BWR BB-,12-Dec-14,BWR BB-,25-Feb-16,NOT REVIEWED,25-May-17,,,,,,,,,,,,,NOT REVIEWED,25-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6358,NRP Projects Private Limited BWR BB,,18-Feb-14,BWR BB+,31-Mar-15,BWR BB+,08-Aug-16,BWR BB +,16-Jan-18,,,,,,,,,,,,,BWR BB +,16-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6359,NRP Projects Private Limited BWR A4,,18-Feb-14,BWR A4+,31-Mar-15,BWR A4+,08-Aug-16,BWR A4 +,16-Jan-18,,,,,,,,,,,,,BWR A4 +,16-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6360,NS Software BWR BB + (SO),,29-Jun-17,,,,,,,,,,,,,,,,,,,BWR BB + (SO),29-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6361,NS Software BWR A4 +,,29-Jun-17,,,,,,,,,,,,,,,,,,,BWR A4 +,29-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6362,NSIL Exports Ltd. BWR BBB-,,28-Feb-14,BWR BBB-,27-Apr-15,BWR BBB-,30-May-16,BWR BBB,20-Jul-17,,,,,,,,,,,,,BWR BBB,20-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6363,NSIL Exports Ltd. BWR A3,,28-Feb-14,BWR A3,27-Apr-15,BWR A3,30-May-16,BWR A3,20-Jul-17,,,,,,,,,,,,,BWR A3,20-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6364,NSL Krishnaveni Sugars Limited BWR BB+,,14-Oct-14,BWR BB+,08-Sep-15,BWR BB,04-Nov-16,BWR BB -,18-Jul-17,,,,,,,,,,,,,BWR BB -,18-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6365,NSL Krishnaveni Sugars Limited BWR A4+,,14-Oct-14,BWR A4+,08-Sep-15,BWR A4,04-Nov-16,BWR A4,18-Jul-17,,,,,,,,,,,,,BWR A4,18-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6366,NSL Sugars Ltd BWR BBB,,22-Jul-14,BWR BBB,08-Sep-15,BWR BB+,04-Nov-16,BWR BB -,18-Jul-17,,,,,,,,,,,,,BWR BB -,18-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6367,NSL Sugars Ltd BWR A3,,22-Jul-14,BWR A3,08-Sep-15,BWR A4+,04-Nov-16,BWR A4,18-Jul-17,,,,,,,,,,,,,BWR A4,18-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6368,NSN Educational Trust BWR B,,04-Mar-16,NOT REVIEWED,05-Jun-17,,,,,,,,,,,,,,,,,NOT REVIEWED,05-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,
