Count,Sl.No.,Name of the Issuer,Initial Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
1924,1924,NORTH EASTERN ELECTRIC POWER CORPORATION LIMITED,SMERA AA+,16-Apr-14,Withdrawn,29-Oct-14,,,,,,,,
1925,1925,NORTH EASTERN KNOWLEDGE FOUNDATION,SMERA B,06-Aug-15,Suspended,24-Nov-16,,,,,,,,
1926,1926,NORTH GUJARAT SAT ISABGUL INDUSTRIES PRIVATE LIMITED,SMERA BBB-,19-Feb-18,,,,,,,,,,
1927,1927,NORTH INDIA STEEL COMPANY,SMERA BB-,12-Jun-17,,,,,,,,,,
1928,1928,NOVO MEDI SCIENCES PRIVATE LIMITED,SMERA BB-,22-Feb-18,,,,,,,,,,
1929,1929,NOWOTEK TEXTILES PRIVATE LIMITED,SMERA B+/SMERA A4,10-Oct-16,Indicative,10-Jan-18,,,,,,,,
1930,1930,NTB INTERNATIONAL PRIVATE LIMITED,SMERA B+/SMERA A4,05-Mar-18,,,,,,,,,,
1931,1931,NUETECH SOLAR SYSTEMS PRIVATE LIMITED,SMERA BB/SMERA A4+,05-Oct-16,,,,,,,,,,
1932,1932,NUTAN ECO POWER,SMERA D,21-Jun-16,SMERA B+,04-Sep-17,,,,,,,,
1933,1933,O LIFE PRIVATE LIMITED,SMERA B-,22-Jul-14,,,,,,,,,,
1934,1934,OASIS COMMERCIAL PRIVATE LIMITED,SMERA BBB-/SMERA A3,19-Jan-17,,,,,,,,,,
1935,1935,OASIS DISTILLERIES LIMITED,SMERA BBB-/SMERA A3,19-Jan-17,,,,,,,,,,
1936,1936,OASIS ENTERPRISES PRIVATE LIMITED,SMERA BB-,07-Sep-15,Suspended,29-Nov-16,,,,,,,,
1937,1937,OASIS OVERSEAS EXPORTS PRIVATE LIMITED,SMERA BBB-/SMERA A3,19-Jan-17,,,,,,,,,,
1938,1938,OBEROI THERMIT PRIVATE LIMITED,SMERA BB/SMERA A4+,28-Oct-14,Suspended,27-Jan-16,,,,,,,,
1939,1939,ODISHA COAL AND POWER LIMITED,SMERA BBB-/SMERA A3,04-Jan-18,,,,,,,,,,
1940,1940,ODISHA STATE CIVIL SUPPLIES CORPORATION LIMITED,SMERA A-/SMERA A1,08-Mar-16,,,,,,,,,,
1941,1941,OFFBEAT DEVELOPERS PRIVATE LIMITED,SMERA BBB-,02-Apr-15,SMERA BBB-/SMERA A3,20-Oct-15,SMERA BBB,22-Sep-17,,,,,,
1942,1942,OHM SRINIVASA PAPER BOARDS PRIVATE LIMITED,SMERA B/SMERA A4,19-Jun-17,,,,,,,,,,
1943,1943,OJA AUTOMOBILES PRIVATE LIMITED,SMERA BBB-/SMERA A3,29-Jun-15,,,,,,,,,,
1944,1944,OJUS POWER AND TECHNOLOGIES PRIVATE LIMITED,SMERA BB/SMERA A4+,16-Feb-18,,,,,,,,,,
1945,1945,OLYMPEO RIVERSIDE PROJETCS LLP,SMERA BB,21-Apr-17,,,,,,,,,,
1946,1946,OLYMPIA INDUSTRIES LIMITED,SMERA BBB-,19-Aug-16,,,,,,,,,,
1947,1947,OM ANAND EXPORTS,SMERA A4+,07-Dec-17,,,,,,,,,,
1948,1948,OM BIOMEDIC PRIVATE LIMITED,SMERA B+/SMERA A4,13-Jan-16,Indicative,12-May-17,,,,,,,,
1949,1949,OM DRISHIAN INTERNATIONAL LIMITED,SMERA BB-,22-Mar-16,Indicative,13-Jul-17,,,,,,,,
1950,1950,OM DUTTA INDUSTRIES,SMERA B-,23-Dec-16,SMERA D,26-Aug-17,,,,,,,,
1951,1951,OM PRAKASH SHARMA CONTRACTOR,SMERA BB-/SMERA A4,10-May-16,Indicative,17-Aug-17,,,,,,,,
1952,1952,OM RICE & AGRO INDUSTRIES,SMERA B+,20-Jul-16,Indicative,01-Nov-17,,,,,,,,
1953,1953,OM SAI UDYOG INDIA PRIVATE LIMITED,SMERA BB-/SMERA A4,22-Jun-15,Suspended,27-Aug-16,,,,,,,,
1954,1954,OM SONS MARKETING PRIVATE LIMITED,SMERA BBB-/SMERA A3,19-Jan-17,,,,,,,,,,
1955,1955,OMEGA DESIGNS PRIVATE LIMITED,SMERA BBB-/SMERA A3,06-Mar-18,,,,,,,,,,
1956,1956,OMICRON STEEL TRADES PRIVATE LIMITED,SMERA D,13-Jul-15,Indicative,02-Jan-18,,,,,,,,
1957,1957,OMNIFRESH AGRO,SMERA D,26-Jul-17,,,,,,,,,,
1958,1958,ONE WORLD CORPORATION PRIVATE LIMITED,SMERA B,26-Oct-16,Indicative,30-Jan-18,,,,,,,,
1959,1959,ONKAR INTERNATIONAL PRIVATE LIMITED,SMERA B+/SMERA A4,21-May-14,Suspended,28-Aug-15,,,,,,,,
1960,1960,ONUS ENTERPRISE PRIVATE LIMITED,SMERA BB/SMERA A4+,18-Nov-15,,,,,,,,,,
1961,1961,ONWARD CHEMICALS PRIVATE LIMITED,SMERA BB,06-Mar-18,,,,,,,,,,
1962,1962,OPAL ASIA INDIA PRIVATE LIMITED,SMERA BB,24-Aug-17,,,,,,,,,,
1963,1963,OPEL AUTO PRODUCTS PRIVATE LIMITED,SMERA B+ /SMERA A4,20-May-13,Suspended,07-Oct-14,,,,,,,,
1964,1964,OPG POWER GENERATION PRIVATE LIMITED,SMERA AA-/SMERA A1+,28-Sep-17,,,,,,,,,,
1965,1965,OPG POWER VENTURES PLC,SMERA A+,29-Sep-17,,,,,,,,,,
1966,1966,OPGS POWER GUJARAT PRIVATE LIMITED,SMERA BBB-/SMERA A3,28-Sep-17,,,,,,,,,,
1967,1967,OPTIMUS DRUGS PRIVATE LIMITED,SMERA BBB/SMERA A3+,29-May-15,SMERA BBB+/SMERA A2,03-Aug-16,SMERA A-/SMERA A2+,22-Nov-17,,,,,,
1968,1968,OPUS INDUSTRIES PRIVATE LIMITED,SMERA B,20-Nov-14,Suspended,24-Feb-16,,,,,,,,
1969,1969,ORBIS ELEVATOR COMPANY LIMITED,SMERA BB/SMERA A4+,22-May-17,,,,,,,,,,
1970,1970,OREN HYDROCARBONS PRIVATE LIMITED,SMERA BBB/SMERA A3+,30-Dec-17,,,,,,,,,,
1971,1971,ORIENT STEEL & INDUSTRIES LIMITED,SMERA BB/SMERA A4+,08-Mar-16,,,,,,,,,,
1972,1972,ORIENTAL ENGINEERING WORKS PRIVATE LIMITED,SMERA BB+/SMERA A4+,11-Feb-16,,,,,,,,,,
1973,1973,ORION TRADECOM PRIVATE LIMITED,SMERA A4,23-Sep-15,Suspended,21-Sep-16,,,,,,,,
1974,1974,ORNATE SPACES PRIVATE LIMITED,SMERA Provisional BBB-(SO),25-Jan-18,,,,,,,,,,
1975,1975,ORVI DESIGN STUDIO,SMERA BB-/SMERA A4+,24-Sep-16,,,,,,,,,,
1976,1976,OSAW INDUSTRIAL PRODUCTS PRIVATE LIMITED,SMERA BB/SMERA A4+,19-Jul-16,,,,,,,,,,
1977,1977,OSTERN PRIVATE LIMITED,SMERA BBB/SMERA A2,03-Nov-16,,,,,,,,,,
1978,1978,OSWAL POLYCHEM,SMERA BB/SMERA A4+,08-Nov-16,Indicative,11-Jan-18,,,,,,,,
1979,1979,OSWAL PSYLLIUM EXPORTS,SMERA B+,22-May-17,,,,,,,,,,
1980,1980,OSWAL PUMPS LIMITED,SMERA BB+/SMERA A4+,22-Apr-16,,,,,,,,,,
1981,1981,OSWAL SEEDS AND CHEMICALS,SMERA B,31-Mar-16,Indicative,14-Jul-17,SMERA B+,10-Oct-17,,,,,,
1982,1982,OZONE PB SPINTEX LIMITED,SMERA B+/SMERA A4,01-Apr-14,Suspended,17-Jul-15,,,,,,,,
1983,1983,P DASARATHARAMA REDDY,SMERA BB/SMERA A4+,27-May-17,,,,,,,,,,
1984,1984,P G INDUSTRY LIMITED,SMERA B+,06-May-13,SMERA C,18-Jul-14,Suspended,13-Oct-14,,,,,,
1985,1985,P K AND SONS,SMERA B+/SMERA A4,13-Jun-16,Indicative,15-Sep-17,,,,,,,,
1986,1986,P K KRISHNARAJU,SMERA BB-/SMERA A4+,07-Nov-16,,,,,,,,,,
1987,1987,P K SAXENA CONTRACTOR,SMERA BB/SMERA A4+,08-Dec-14,Suspended,29-Feb-16,,,,,,,,
1988,1988,P K UDYOG,SMERA A4,16-Mar-15,,,,,,,,,,
1989,1989,P MANICKAM & CO,SMERA BBB-/SMERA A3,02-Sep-14,Suspended,07-Dec-15,,,,,,,,
1990,1990,P N GROUP,SMERA BB/SMERA A4+,02-Jun-16,SMERA BB-/SMERA A4+,13-Oct-17,,,,,,,,
1991,1991,P NARASIMHA RAO & COMPANY,SMERA BB-/SMERA A4+,15-May-17,,,,,,,,,,
1992,1992,P P RAJU & COMPANY,SMERA BB/SMERA A4+,15-May-15,Suspended,09-Jun-16,,,,,,,,
1993,1993,P P RICE MILL PRIVATE LIMITED,SMERA B-/SMERA A4,22-Mar-16,Indicative,28-Sep-17,,,,,,,,
1994,1994,P P SAVANI KNOWLEDGE CITY,SMERA B,11-May-17,,,,,,,,,,
1995,1995,P R KEDARNATH MULTI COMPONENTS,SMERA B/SMERA A4,03-Jan-14,Suspended,08-May-15,,,,,,,,
1996,1996,P R S RICE MILL,SMERA BB-,22-Sep-17,,,,,,,,,,
1997,1997,P S S JAYAM & CO,SMERA B/SMERA A4,24-Oct-16,,,,,,,,,,
1998,1998,P SRI RAMULU,SMERA B+,15-Feb-18,,,,,,,,,,
1999,1999,P&R GURDITTIWALA HYDRO POWER LIMITED,SMERA B+/SMERA A4,21-Mar-17,,,,,,,,,,
2000,2000,PACE ELECTRICALS PRIVATE LIMITED,SMERA BB-/SMERA A4+,17-Mar-18,,,,,,,,,,
2001,2001,PACE POWER SYSTEMS PRIVATE LIMITED,SMERA BBB+/SMERA A2,21-Nov-17,,,,,,,,,,
2002,2002,PACE RENEWABLE ENERGIES PRIVATE LIMITED,SMERA BBB+/SMERA A2,21-Nov-17,,,,,,,,,,
2003,2003,PACIFIC CITIFONE DEALS PRIVATE LIMITED,SMERA BB-/SMERA A4+,11-Mar-14,Withdrawn,28-Jun-16,,,,,,,,
2004,2004,PACK N PRINT,SMERA B,24-Aug-16,Indicative,16-Nov-17,,,,,,,,
2005,2005,PACKAGING SOLUTIONS,SMERA BB-,28-Feb-18,,,,,,,,,,
2006,2006,PADGILWAR AGRO INDUSTRIES,SMERA B+,10-Jul-17,,,,,,,,,,
2007,2007,PADMA AGRO IMPEX,SMERA B,24-Feb-17,,,,,,,,,,
2008,2008,PADMASHREE GRAPHICS,SMERA B,03-Aug-16,Indicative,04-Sep-17,,,,,,,,
2009,2009,PADMASHRI OIL REFINERIES,SMERA B,21-Aug-17,,,,,,,,,,
2010,2010,PADMAVATI STEELS LIMITED,SMERA B-,11-Jun-16,Indicative,15-Sep-17,,,,,,,,
2011,2011,PADMEY IMPEX PRIVATE LIMITED,SMERA B+/SMERA A4,15-Dec-17,,,,,,,,,,
2012,2012,PAGAN PAINTS AND CHEMICALS PRIVATE LIMITED,SMERA B+/SMERA A4,10-Jun-16,Indicative,27-Sep-17,,,,,,,,
2013,2013,PAHAL FINANCIAL SERVICES PRIVATE LIMITED,SMERA BB+,25-Aug-16,SMERA BB,24-Oct-17,,,,,,,,
2014,2014,PAHWA INTERNATIONAL,SMERA BB/SMERA A4+,19-Sep-14,Suspended,18-Dec-15,SMERA BB-/SMERA A4,17-Mar-16,Indicative,03-Aug-17,"SMERAB+/SMERA A4",03-Nov-17,,
2015,2015,PAL ENTERPRISES,SMERA A4,27-Jun-17,,,,,,,,,,
2016,2016,PAL SHELLCAST PRIVATE LIMITED,SMERA BBB/SMERA A3+,24-Apr-17,,,,,,,,,,
2017,2017,PALLAZZIO HOTELS & LEISURE LIMITED,SMERA B+,29-Sep-15,SMERA BB+,21-Jan-17,Withdrawn,28-Mar-18,,,,,,
2018,2018,PALTECH COOLING TOWERS & EQUIPMENTS LIMITED,SMERA BB-/SMERA A4,25-Jul-16,Indicative,27-Sep-17,SMERA C/SMERA A4,16-Feb-18,,,,,,
2019,2019,PAMI METALS PRIVATE LIMITED,SMERA BB-/SMERA A4+,02-Sep-13,SMERA B+/SMERA A4,31-Oct-14,Suspended,30-Jan-16,,,,,,
2020,2020,PAMM ADVERTISING & MARKETING,SMERA BB/SMERA A4+,30-Oct-15,,,,,,,,,,
2021,2021,PAN INDIA NETWORK INFRAVEST LIMITED,SMERA BBB,07-Apr-17,,,,,,,,,,
2022,2022,PAN INDIA UTILITIES DISTRIBUTION COMPANY LIMITED,SMERA BBB,06-Apr-17,,,,,,,,,,
2023,2023,PANACEA MEDICAL TECHNOLOGIES PRIVATE LIMITED,SMERA BBB-/SMERA A3,26-Nov-16,,,,,,,,,,
2024,2024,PANCHAGNI ENERGIES PRIVATE LIMITED,SMERA A4,15-Jan-15,Suspended,18-Apr-16,,,,,,,,
2025,2025,PANCHAMRUT PROPERTIES PRIVATE LIMITED,SMERA B-,18-Apr-16,Indicative,05-Jul-17,,,,,,,,
2026,2026,PANDIT AUTOMOBILES PRIVATE LIMITED,SMERA BB-/SMERA A4,28-Aug-15,SMERA BB/SMERA A4+,06-Dec-17,,,,,,,,
2027,2027,PANDIT AUTOMOTIVE SANGLI PRIVATE LIMITED,SMERA BB-,13-Feb-14,Withdrawn,30-Jan-17,,,,,,,,
2028,2028,PANDIT AUTOMOTIVE SATARA PRIVATE LIMITED,SMERA BB-,13-Feb-14,Withdrawn,30-Jan-17,,,,,,,,
2029,2029,PANKAJ AUTOMOBILES PRIVATE LIMITED,SMERA BB-,01-Oct-15,SMERA D,20-Sep-16,Indicative,10-Jan-18,,,,,,
2030,2030,PAPCON INDORE PRIVATE LIMITED,SMERA B+,12-Mar-16,Indicative,11-Oct-17,,,,,,,,
2031,2031,PARAM ENTEPRISES PRIVATE LIMITED,SMERA BBB/SMERA A3+,09-Nov-16,,,,,,,,,,
2032,2032,PARAMOUNT CONTENT SYNDICATORS PRIVATE LIMITED,SMERA B,21-Aug-17,,,,,,,,,,
2033,2033,PARAMOUNT INDUSTRIES,SMERA B/SMERA A4,15-Mar-18,,,,,,,,,,
2034,2034,PARAMOUNT POWDERS PRIVATE LIMITED,SMERA BB+/SMERA A4+,14-Mar-18,,,,,,,,,,
2035,2035,PARAMOUNT SURGIMED LIMITED,SMERA BB+/SMERA A4+,15-Apr-14,SMERA BB/SMERA A4+,07-Nov-16,Indicative,30-Jan-18,,,,,,
2036,2036,PARAMOUNT SYNTEX PRIVATE LIMITED,SMERA BB,26-Dec-14,Suspended,13-Feb-16,,,,,,,,
2037,2037,PARANI SPINNING MILLS PRIVATE LIMITED,SMERA D,15-Sep-14,Suspended,02-Nov-15,SMERA B-/SMERA A4,02-Dec-16,,,,,,
2038,2038,PARAS BHAVANI STEEL PRIVATE LIMITED,SMERA BB/SMERA A4+,17-May-16,,,,,,,,,,
2039,2039,PARAS BIOTECH PRIVATE LIMITED,SMERA B-,09-May-17,,,,,,,,,,
2040,2040,PARAS INTERMEDIATES PRIVATE LIMITED,SMERA BB/SMERA A4+,17-Feb-16,Indicative,17-May-17,,,,,,,,
2041,2041,PARAS RAM TEXTILES PRIVATE LIMITED,SMERA D,17-Apr-14,Suspended,18-Aug-15,,,,,,,,
2042,2042,PARASNATH ENTERPRISES,SMERA BB/SMERA A4+,27-Oct-15,Indicative,08-Feb-17,,,,,,,,
2043,2043,PARIVARTAN BUILDTECH PRIVATE LIMITED,SMERA BB/SMERA A4+,30-Jun-15,Indicative,01-Dec-17,,,,,,,,
2044,2044,PARK CONTROLS AND COMMUNICATION PRIVATE LIMITED,SMERA BB-/SMERA A4+,13-Aug-15,,,,,,,,,,
2045,2045,PARK MEDICENTERS & INSTITUTIONS PRIVATE LIMITED,SMERA BB/SMERA A4+,17-Jul-14,Suspended,14-Oct-15,,,,,,,,
2046,2046,PARKASH & COMPANY,SMERA B+/SMERA A4,20-Oct-15,,,,,,,,,,
2047,2047,PARSHVA FOOD INTERNATIONAL,SMERA B+/SMERA A4,18-Jul-14,SMERA BB-/SMERA A4+,27-Nov-15,Indicative,02-Feb-18,,,,,,
2048,2048,PARSHVANATH OVERSEAS,SMERA B-/SMERA A4,18-Feb-14,SMERA B+/SMERA A4,26-Aug-14,SMERA BB-/SMERA A4+,27-Nov-15,Indicative,02-Feb-18,,,,
2049,2049,PARTH DIAMOND PRIVATE LIMITED,SMERA BB-/SMERA A4,12-Sep-17,,,,,,,,,,
2050,2050,PARTH ENTERPRISES,SMERA BB-,13-Jul-17,,,,,,,,,,
2051,2051,PARVEEN TRAVELS PRIVATE LIMITED,SMERA BBB-,13-Oct-17,,,,,,,,,,
2052,2052,PARVIN EXIM PRIVATE LIMITED,SMERA A4,10-Aug-16,Indicative,16-Nov-17,,,,,,,,
2053,2053,PASHUPATINATH REFRIGERATION PRIVATE LIMITED,SMERA B/SMERA A4,01-Sep-15,,,,,,,,,,
2054,2054,PATANJALI CHIKITSALAYA,SMERA B-,03-Aug-16,Indicative,28-Nov-17,,,,,,,,
2055,2055,PATEL ASSOCIATES,SMERA B,09-Apr-15,Suspended,23-Jun-16,,,,,,,,
2056,2056,PATEL FILTERS INFRASTRUCTURE,SMERA B-/SMERA A4,25-Nov-13,Suspended,16-Mar-16,SMERA B-/SMERA A4,31-Mar-16,Indicative,18-Jul-17,,,,
2057,2057,PATEL INN AND TRAVELS PRIVATE LIMITED,SMERA BB,12-Dec-17,,,,,,,,,,
2058,2058,PATEL RETAIL PRIVATE LIMITED,SMERA BBB-/SMERA A3,12-Mar-18,,,,,,,,,,
2059,2059,PATEL TIMBER CORPORATION,SMERA B/SMERA A4,14-Nov-16,Indicative,22-Jan-18,,,,,,,,
2060,2060,PATEL VENEERS PRIVATE LIMITED,SMERA BB-/SMERA A4+,21-Sep-15,Suspended,09-Dec-16,,,,,,,,
2061,2061,PATHANJALI SILKS,SMERA B/SMERA A4,08-Dec-16,Indicative,09-Mar-18,,,,,,,,
2062,2062,PATNI PULSES,SMERA B,13-May-17,,,,,,,,,,
2063,2063,PAUL & COMPANY STEEL MERCHANTS PRIVATE LIMITED,SMERA BB+,10-Mar-16,Indicative,24-May-17,,,,,,,,
2064,2064,PAUL STRIPS AND TUBES PRIVATE LIMITED,SMERA BB+/SMERA A4+,27-Jul-17,,,,,,,,,,
2065,2065,PAVITER METALS PRIVATE LIMITED,SMERA BB/SMERA A4+,19-May-15,SMERA BB-/SMERA A4,23-Jul-16,Indicative,28-Nov-17,,,,,,
2066,2066,PAWAN ENTERPRISES,SMERA B,29-May-14,Suspended,22-Oct-16,,,,,,,,
2067,2067,PAWAN TRADECORP PRIVATE LIMITED,SMERA B+/SMERA A4,28-Nov-16,Indicative,10-Feb-18,,,,,,,,
2068,2068,PAXAL CORPORATION,SMERA BB-/SMERA A4+,06-Mar-18,,,,,,,,,,
2069,2069,PBI INDIA PRIVATE LIMITED,SMERA BBB,09-Apr-14,,,,,,,,,,
2070,2070,PBI METALS PRIVATE LIMITED,SMERA B-,09-Apr-14,Suspended,05-Aug-15,,,,,,,,
2071,2071,PCI LIMITED,SMERA D/SMERA D,26-Mar-18,,,,,,,,,,
2072,2072,PCM CEMENT CONCRETE PRIVATE LIMITED,SMERA BBB-/SMERA A3,19-Mar-18,,,,,,,,,,
2073,2073,PEERLESS BIOTECH PRIVATE LIMITED,SMERA BB+/SMERA A4+,13-Apr-15,Suspended,26-May-16,,,,,,,,
2074,2074,PEMMASANI SOLAR POWER PRIVATE LIMITED,SMERA BBB-,08-Dec-17,,,,,,,,,,
2075,2075,PENTA GOLD PRIVATE LIMITED,SMERA BB-,10-Jan-14,SMERA BB,30-Jan-15,Indicative,23-Jun-17,,,,,,
2076,2076,PENTAGON ASSEMBLY AUTOMATION PRIVATE LIMITED,SMERA BB-/SMERA A4,29-Mar-18,,,,,,,,,,
2077,2077,PENTAGON LABS LIMITED,SMERA D,20-May-15,SMERA B/SMERA A4,07-Jul-16,,,,,,,,
2078,2078,PEPPERMINT CLOTHING PRIVATE LIMITED,SMERA B,03-Mar-14,Suspended,30-Jan-15,,,,,,,,
2079,2079,PERFECT DYNAMICS AUTO PRIVATE LIMITED,SMERA BB,22-Mar-18,,,,,,,,,,
2080,2080,PERFECT ENGINEERING CORPORATION,SMERA B+/SMERA A4,09-Jan-18,,,,,,,,,,
2081,2081,PERFORMANCE PRODUCTS AND SERVICES,SMERA BB+/SMERA A4+,25-Feb-15,Suspended,28-Apr-16,,,,,,,,
2082,2082,PERMESHWAR FASHIONS IMPEX PRIVATE LIMITED,SMERA BBB/SMERA A3+,23-Mar-16,Indicative,30-Oct-17,Withdrawn,11-Dec-17,,,,,,
2083,2083,PETAL MOTOCON PRIVATE LIMITED,SMERA B/SMERA A4,26-May-17,,,,,,,,,,
2084,2084,PETRO PLAST INDUSTRIES LIMITED,SMERA BB/SMERA A4+,16-Jul-15,,,,,,,,,,
2085,2085,PETROPOL INDIA LIMITED,SMERA BB,18-Mar-15,Suspended,27-May-16,SMERA BB+,29-Mar-18,,,,,,
2086,2086,PFC GREEN ENERGY LIMITED,SMERA AAA (IR),10-May-16,,,,,,,,,,
2087,2087,PG INDUSTRIES,SMERA BB,28-Mar-18,,,,,,,,,,
2088,2088,PHANTOM FLIMS PRIVATE LIMITED,SMERA BBB-,21-Dec-17,,,,,,,,,,
2089,2089,PHARMACHEM TRADERS PRIVATE LIMITED,SMERA B+/SMERA A4,31-Dec-14,Indicative,16-May-17,,,,,,,,
2090,2090,PHARMALAB INDIA PRIVATE LIMITED,SMERA BB+/SMERA A4+,31-Aug-16,SMERA BBB-/SMERA A3,21-Dec-17,,,,,,,,
2091,2091,PHI AUDICOM SYSTEMS PRIVATE LIMITED,SMERA BB-/SMERA A4,08-Dec-16,,,,,,,,,,
2092,2092,PHOENIX ENGINEERING,SMERA B/SMERA A4,29-May-17,,,,,,,,,,
2093,2093,PHOENIX OVERSEAS LIMITED,SMERA BB+/SMERA A4+,30-Mar-15,Suspended,10-Jun-16,,,,,,,,
2094,2094,PHOENIX STRUCTURAL AND ENGINEERING PRIVATE LIMITED,SMERA B+/SMERA A4,13-Dec-17,,,,,,,,,,
2095,2095,PHR INVENT EDUCATIONAL SOCIETY,SMERA BBB-,22-Feb-18,,,,,,,,,,
2096,2096,PILKHUWA WATER PROOFING COMPANY PRIVATE LIMITED,SMERA C,21-Jan-15,Suspended,05-Feb-16,,,,,,,,
2097,2097,PINCON SPIRIT LIMITED,SMERA BBB,16-Dec-15,SMERA BBB+,09-Mar-17,"SMERA BBB-(Downgraded &Under Rating Watch)",10-Nov-17,SMERA BB,16-Dec-17,,,,
2098,2098,PINCON SPIRIT LIMITED,SMERA BBB,16-Dec-15,SMERA BBB+,09-Mar-17,"SMERA BBB-(Downgraded &Under Rating Watch)",10-Nov-17,SMERA BB,16-Dec-17,,,,
2099,2099,PINNACLE NEXUS LIMITED,SMERA BBB-,19-Jan-16,Indicative,16-May-17,,,,,,,,
2100,2100,PINNACLE VEHICLES & SERVICES PRIVATE LIMITED,SMERA B,17-Aug-16,Indicative,15-Sep-17,SMERA BB-,09-Jan-18,,,,,,
2101,2101,PIONEER DYEING PRIVATE LIMITED,SMERA BB-,16-Dec-14,Suspended,18-Mar-16,,,,,,,,
2102,2102,PIONEER FURNACES PRIVATE LIMITED,SMERA BBB-/SMERA A3,31-Jan-13,SMERA BB+/SMERA A4+,25-Aug-14,Suspended,21-Nov-15,,,,,,
2103,2103,PIONEER LEDER TEX PRIVATE LIMITED,SMERA B+/SMERA A4,21-Aug-15,Indicative,08-Feb-17,SMERA B/SMERA A4,09-Jan-18,,,,,,
2104,2104,PIONEER POLYLEATHERS PRIVATE LIMITED,SMERA BBB-/SMERA A3,14-Mar-13,"SMERA BBB/SMERA A3+",02-Sep-13,SMERA BBB+/SMERA A2,22-Aug-14,Suspended,04-Dec-15,,,,
2105,2105,PIONEER PROFILES PRIVATE LIMITED,SMERA B-,16-Feb-15,SMERA D,13-Oct-17,,,,,,,,
2106,2106,PISCESIA POWER TRANSMISSION PRIVATE LIMITED,SMERA BB/SMERA A4+,20-Apr-17,,,,,,,,,,
2107,2107,PLANT LIPIDS PRIVATE LIMITED,SMERA AA-/SMERA A1+,20-Jun-16,,,,,,,,,,
2108,2108,PLATINUM GRAINS PRIVATE LIMITED,SMERA A4+,06-Sep-16,,,,,,,,,,
2109,2109,PLATINUM SOLAR PRIVATE LIMITED,SMERA B,20-Aug-16,Indicative,11-Jan-18,,,,,,,,
2110,2110,PLATO INDUSTRIES LIMITED,SMERA B/SMERA A4,30-Dec-16,,,,,,,,,,
2111,2111,PLAZA POWER AND INFRASTRUCTURE COMPANY,SMERA BB-/SMERA A4,23-Oct-15,SMERA BB/SMERA A4+,09-Oct-17,,,,,,,,
2112,2112,PLAZA WIRES PRIVATE LIMITED,SMERA BB,15-Apr-14,SMERA BB+,31-Mar-15,Indicative,25-Sep-17,,,,,,
2113,2113,PMA CONSTRUCTION COMPANY,SMERA BB-/SMERA A4+,12-Mar-16,Indicative,29-Jun-17,,,,,,,,
2114,2114,POCHAMPAD CONSTRUCTION COMPANY PRIVATE LIMITED,SMERA BBB-/SMERA A3,01-Oct-15,,,,,,,,,,
2115,2115,PODDAR MERCANTILE PRIVATE LIMITED,SMERA BB-/SMERA A4+,07-Apr-17,,,,,,,,,,
2116,2116,PODDER & PODDER EQUIPMENT & PROJECT PRIVATE LIMITED,SMERA BB/SMERA A4+,13-Apr-15,,,,,,,,,,
2117,2117,POLLUTECH ENGINEERING,SMERA BB+,06-Jan-15,SMERA BBB-/SMERA A3,25-Apr-17,,,,,,,,
2118,2118,PONDICHERRY SRI LAKSHMI JEWELERY PRIVATE LIMITED,SMERA BB/SMERA A4+,29-Jan-18,,,,,,,,,,
2119,2119,PONDICHERRY SRI LAKSHMI JEWELLERY,SMERA BB,29-Jan-18,,,,,,,,,,
2120,2120,PONMUDI MUTHUSAMY GOUNDER TRUST,SMERA D,18-Apr-13,Suspended,28-Jul-14,,,,,,,,
2121,2121,PONMURUGAN DHALL MILLS,SMERA BB-/SMERA A4+,06-Apr-16,,,,,,,,,,
2122,2122,POOJYA EXPORT PRIVATE LIMITED,SMERA B+/SMERA A4,31-Dec-15,,,,,,,,,,
2123,2123,POORVANCHAL FOOD PRODUCTS PRIVATE LIMITED,SMERA B+,07-Mar-17,,,,,,,,,,
2124,2124,POWER CABLE INDUSTRIES,SMERA BB/SMERA A4+,10-Jul-15,Suspended,12-Aug-16,,,,,,,,
2125,2125,POWER ENGINEERING CORPORATION,SMERA B+/SMERA A4,05-May-17,Indicative,28-Mar-18,,,,,,,,
2126,2126,POWERCRAFT ELECTRONICS PRIVATE LIMITED,SMERA B+/SMERA A4,27-Apr-15,Suspended,11-May-16,,,,,,,,
2127,2127,POWERTECH ENGINEERS,SMERA BB-/SMERA A4,30-May-17,,,,,,,,,,
2128,2128,POWERWEAVE SOFTWARE SERVICES PRIVATE LIMITED,SMERA B,19-Aug-13,SMERA C,03-Nov-14,SMERA B-,02-Aug-16,Indicative,26-Oct-17,,,,
2129,2129,PRABHANJAN AUTOMOBILES PRIVATE LIMITED,SMERA D,11-Dec-13,Suspended,06-Apr-15,,,,,,,,
2130,2130,PRABHAT POULTRY PRIVATE LIMITED,SMERA D,23-Sep-15,Indicative,09-Jan-18,,,,,,,,
2131,2131,PRADHAMA MULTISPECIALITY HOSPITALS AND RESEARCH INSTIT,STME ELRIMA IBTED,10-Nov-16,Indicative,12-Feb-18,,,,,,,,
2132,2132,PRADIP POLYFILS PRIVATE LIMITED,SMERA BB/SMERA A4+,05-Feb-15,Indicative,10-Aug-17,,,,,,,,
2133,2133,PRAFFUL EXPORTS,SMERA BB-,13-Jun-17,,,,,,,,,,
