Company Name,Industry,Instrument,Outlook,Rating
ASR Industries,Food Products,Long Term Bank Loan,Stable,CRISIL B+
ASR Logistics (India) Private Limited,Air Freight & Logistics,Cash Credit Limit,Stable,CRISIL BB-
ASR Multimetals Private Limited,Metals & Mining,Proposed Cash Credit Limit,Stable,CRISIL BBB+
ASTA India Private Limited,Electrical Equipment,Cash Credit Limit,Stable,CRISIL BB+
ATC Chemicals India Private Limited,Chemicals,Long Term Bank Loan,Stable,CRISIL B
ATC Logistics Private Limited,Road & Rail,Term Loan Facilities,Stable,CRISIL BB+
ATR Malleable Casting Private Limited,Metals & Mining,Proposed Fund-Based Bank Limits,Stable,CRISIL BB-
AU Small Finance Bank Limited,Non Banking Financial Company,Bank Guarantee,Stable,CRISIL A+
AVC Motors,Specialty Retail,Term Loan Facilities,Stable,CRISIL B
AVC Motors (Nissan),Specialty Retail,Cash Credit Limit,Stable,CRISIL B-
AVC Motors - Muktsar,Specialty Retail,Term Loan Facilities,Stable,CRISIL B
AVK Ispat Private Limited,Distributors,Proposed Long-Term Bank Facility,Stable,CRISIL BB
AYG Realty Pvt. Ltd.,Construction & Engineering,Cash Credit Limit,Stable,CRISIL B
Aabharan Jewellery,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL B
Aachi Special Foods Private Limited,Food Products,Proposed Long-Term Bank Facility,Stable,CRISIL BB+
Aadhar Rice Mill Private Limited,Food Products,Cash Credit Limit,Stable,CRISIL B
Aadharshila,Construction & Engineering,Cash Credit Limit,Stable,CRISIL B+
Aaditya Construction,Construction & Engineering,Cash Credit Limit,Stable,CRISIL B+
Aaditya Foam Industries LLP,Household Durables,Proposed Term Loan,Stable,CRISIL BB-
Aaditya Kraft AND Papers Private Limited,Paper & Forest Products,Term Loan Facilities,Stable,CRISIL B
Aaditya Paptech Private Limited,Containers & Packaging,Cash Credit Limit,Stable,CRISIL B
Aagam Holdings Private Limited,Non Banking Financial Company,Proposed Long-Term Bank Facility,Stable,CRISIL AA-
Aaiswarya Dyeing Mills Private Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL BBB+
Aakar Constructions,Construction & Engineering,Cash Credit Limit,Stable,CRISIL BB
Aakarshit Ice and Cold Storage Private Limited,Trading Companies & Distributors,Cash Credit Limit,Stable,CRISIL B+
Aakash Agrotech Private Limited,Food Products,Proposed Long-Term Bank Facility,Stable,CRISIL BB-
Aakash Infrastructure - Ahmedabad,Real Estate Development,Proposed Long-Term Bank Facility,Stable,CRISIL B
Aamoda Broadcasting Company Private Limited,Media,Cash Credit Limit,Stable,CRISIL B
Aamoda Publications Private Limited,Media,Proposed Long-Term Bank Facility,Stable,CRISIL B
Aan Motors Private Limited,Specialty Retail,Electronic Dealer Financing Scheme,Stable,CRISIL BB-
Aanav Construction Co.,Construction & Engineering,Cash Credit Limit,Stable,CRISIL B-
Aanuj Infraprojects Private Limited,Construction & Engineering,Proposed Long-Term Bank Facility,Stable,CRISIL BB-
Aaradhya Disposal Industries Private Limited,Containers & Packaging,Cash Credit Limit,Stable,CRISIL BB-
Aarem Tradex Private Limited,Distributors,Proposed Cash Credit Limit,Stable,CRISIL BBB-
Aark India Educational Trust,Diversified Consumer Services,Over Draft,Stable,CRISIL B
Aarkay Instruments Private Limited,Construction & Engineering,Cash Credit Limit,Stable,CRISIL B+
Aarti Construction Company,Construction & Engineering,Cash Credit Limit,Stable,CRISIL BB
Aarti Drugs Limited,Pharmaceuticals,Cash Credit Limit,Stable,CRISIL A
Aarti Extractions Limited,Food Products,Cash Credit Limit,Stable,CRISIL BB+
Aarti Industries Limited,Chemicals,Proposed Cash Credit Limit,Stable,CRISIL AA-
Aarti Structures Private Limited,Machinery,Cash Credit Limit,Stable,CRISIL BB-
Aarvi Encon Private Limited,Commercial Services & Supplies,Cash Credit Limit,Stable,CRISIL BBB-
Aashapura Agro Industries,Food Products,Term Loan Facilities,Stable,CRISIL B+
Aashiana Rolling Mills Limited,Metals & Mining,Long Term Bank Loan,Stable,CRISIL BBB-
Aastha Hospital,Health Care Providers & Services,Cash Credit Limit,Stable,CRISIL B
Aastha Spintex Private Limited,Engineering & Capital Goods,Proposed Long-Term Bank Facility,Stable,CRISIL BB-
Aatash Power Private Limited,Independent Power Producers & Energy Traders,Term Loan Facilities,Stable,CRISIL BBB-
Aathees Hard Flooring,Construction Materials,Term Loan Facilities,Stable,CRISIL B+
Aathi Velan Mills,Engineering & Capital Goods,Proposed Long-Term Bank Facility,Stable,CRISIL B+
Aauraa International,Household Durables,Term Loan Facilities,Stable,CRISIL BB
Aayur Technology Solutions Private Limited,Aerospace & Defense,Cash Credit Limit,Stable,CRISIL B+
Abacus India Agencies Private Limited,Distributors,Cash Credit Limit,Stable,CRISIL BB-
